battery,35% Charging:false,Mon Jun 13 00:59:57 EDT 2016,40% Charging:false,1:00
battery,50% Charging:true,Mon Jun 13 01:19:28 EDT 2016,50% Charging:true,1:00
battery,55% Charging:true,Mon Jun 13 01:22:28 EDT 2016,60% Charging:true,1:00
battery,60% Charging:true,Mon Jun 13 01:29:28 EDT 2016,60% Charging:true,1:00
battery,65% Charging:true,Mon Jun 13 01:35:27 EDT 2016,70% Charging:true,2:00
battery,70% Charging:true,Mon Jun 13 01:42:28 EDT 2016,70% Charging:true,2:00
battery,75% Charging:true,Mon Jun 13 01:48:28 EDT 2016,80% Charging:true,2:00
battery,80% Charging:true,Mon Jun 13 01:55:28 EDT 2016,80% Charging:true,2:00
battery,85% Charging:true,Mon Jun 13 02:01:28 EDT 2016,90% Charging:true,2:00
battery,90% Charging:true,Mon Jun 13 02:09:28 EDT 2016,90% Charging:true,2:00
battery,95% Charging:true,Mon Jun 13 02:23:28 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Jun 13 02:38:28 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 02:49:28 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 02:59:28 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 03:09:28 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 03:20:00 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 03:30:28 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Jun 13 03:40:28 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Jun 13 03:50:28 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Jun 13 04:00:28 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Jun 13 04:11:28 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Jun 13 04:21:28 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Jun 13 04:31:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 04:41:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 04:52:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 05:03:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 05:13:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 05:25:28 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Jun 13 05:35:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 05:45:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 05:55:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 06:05:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 06:15:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 06:25:28 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Jun 13 06:35:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 06:46:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 06:56:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 07:06:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 07:16:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 07:26:28 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Jun 13 07:37:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 07:47:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 07:57:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 08:07:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 08:18:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 08:29:28 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Jun 13 08:39:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 08:49:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 08:59:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 09:09:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 09:19:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 09:29:28 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Jun 13 09:41:59 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Jun 13 09:52:28 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Jun 13 10:02:28 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Jun 13 10:12:28 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Jun 13 10:22:28 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Jun 13 10:32:28 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Jun 13 10:42:28 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Jun 13 10:52:28 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Jun 13 11:03:28 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Jun 13 11:14:27 EDT 2016,100% Charging:true,11:00
battery,100% Charging:false,Mon Jun 13 11:27:48 EDT 2016,100% Charging:false,11:00
battery,100% Charging:false,Mon Jun 13 11:38:49 EDT 2016,100% Charging:false,12:00
battery,95% Charging:false,Mon Jun 13 12:05:45 EDT 2016,100% Charging:false,12:00
battery,90% Charging:false,Mon Jun 13 12:48:48 EDT 2016,90% Charging:false,13:00
battery,90% Charging:false,Mon Jun 13 12:58:49 EDT 2016,90% Charging:false,13:00
battery,85% Charging:false,Mon Jun 13 15:28:49 EDT 2016,90% Charging:false,15:00
battery,85% Charging:false,Mon Jun 13 15:39:57 EDT 2016,90% Charging:false,16:00
battery,85% Charging:false,Mon Jun 13 15:49:59 EDT 2016,90% Charging:false,16:00
battery,80% Charging:false,Mon Jun 13 16:38:49 EDT 2016,80% Charging:false,17:00
battery,80% Charging:false,Mon Jun 13 16:49:59 EDT 2016,80% Charging:false,17:00
battery,75% Charging:false,Mon Jun 13 17:58:49 EDT 2016,80% Charging:false,18:00
battery,70% Charging:false,Mon Jun 13 18:58:49 EDT 2016,70% Charging:false,19:00
battery,65% Charging:false,Mon Jun 13 20:18:49 EDT 2016,70% Charging:false,20:00
battery,60% Charging:false,Mon Jun 13 21:29:01 EDT 2016,60% Charging:false,21:00
battery,55% Charging:false,Mon Jun 13 22:18:49 EDT 2016,60% Charging:false,22:00
battery,55% Charging:false,Mon Jun 13 22:29:57 EDT 2016,60% Charging:false,22:00
