battery,60% Charging:true,Tue Jul 05 00:33:55 EDT 2016,60% Charging:true,1:00
battery,65% Charging:true,Tue Jul 05 00:39:43 EDT 2016,70% Charging:true,1:00
battery,70% Charging:true,Tue Jul 05 00:45:43 EDT 2016,70% Charging:true,1:00
battery,75% Charging:true,Tue Jul 05 00:53:01 EDT 2016,80% Charging:true,1:00
battery,80% Charging:true,Tue Jul 05 00:58:43 EDT 2016,80% Charging:true,1:00
battery,85% Charging:true,Tue Jul 05 01:04:43 EDT 2016,90% Charging:true,1:00
battery,90% Charging:true,Tue Jul 05 01:10:43 EDT 2016,90% Charging:true,1:00
battery,95% Charging:true,Tue Jul 05 01:19:43 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Tue Jul 05 01:40:42 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 01:50:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 02:00:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 02:10:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 02:20:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 02:30:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Jul 05 02:41:43 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Jul 05 02:52:43 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Jul 05 03:02:43 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Jul 05 03:12:43 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Jul 05 03:22:43 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Jul 05 03:33:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 03:43:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 03:53:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 04:03:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 04:13:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 04:24:43 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Jul 05 04:34:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 04:45:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 04:55:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 05:05:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 05:15:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 05:26:43 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Jul 05 05:36:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 05:46:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 05:57:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 06:07:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 06:18:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 06:29:43 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Jul 05 06:40:43 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Jul 05 06:50:43 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Jul 05 07:01:01 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Jul 05 07:11:43 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Jul 05 07:21:43 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Jul 05 07:32:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Jul 05 07:42:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Jul 05 07:52:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Jul 05 08:03:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Jul 05 08:13:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Jul 05 08:24:43 EDT 2016,100% Charging:true,8:00
battery,100% Charging:false,Tue Jul 05 08:43:52 EDT 2016,100% Charging:false,9:00
battery,95% Charging:false,Tue Jul 05 09:33:58 EDT 2016,100% Charging:false,10:00
battery,90% Charging:false,Tue Jul 05 11:34:37 EDT 2016,90% Charging:false,12:00
battery,90% Charging:false,Tue Jul 05 11:44:38 EDT 2016,90% Charging:false,12:00
battery,85% Charging:false,Tue Jul 05 13:54:37 EDT 2016,90% Charging:false,14:00
battery,85% Charging:false,Tue Jul 05 14:11:27 EDT 2016,90% Charging:false,14:00
battery,80% Charging:false,Tue Jul 05 14:54:37 EDT 2016,80% Charging:false,15:00
battery,75% Charging:false,Tue Jul 05 15:54:38 EDT 2016,80% Charging:false,16:00
battery,70% Charging:false,Tue Jul 05 17:24:38 EDT 2016,70% Charging:false,17:00
battery,65% Charging:false,Tue Jul 05 18:34:38 EDT 2016,70% Charging:false,19:00
battery,60% Charging:false,Tue Jul 05 19:34:38 EDT 2016,60% Charging:false,20:00
battery,55% Charging:false,Tue Jul 05 20:31:58 EDT 2016,60% Charging:false,21:00
battery,50% Charging:false,Tue Jul 05 21:34:37 EDT 2016,50% Charging:false,22:00
battery,45% Charging:false,Tue Jul 05 22:44:38 EDT 2016,50% Charging:false,23:00
battery,40% Charging:false,Tue Jul 05 23:54:39 EDT 2016,40% Charging:false,0:00
