battery,5% Charging:false,Sun Jul 10 00:08:40 EDT 2016,10% Charging:false,0:00
battery,5% Charging:true,Sun Jul 10 00:31:16 EDT 2016,10% Charging:true,1:00
battery,10% Charging:true,Sun Jul 10 00:34:17 EDT 2016,10% Charging:true,1:00
battery,15% Charging:true,Sun Jul 10 00:37:17 EDT 2016,20% Charging:true,1:00
battery,20% Charging:true,Sun Jul 10 00:40:17 EDT 2016,20% Charging:true,1:00
battery,25% Charging:true,Sun Jul 10 00:43:17 EDT 2016,30% Charging:true,1:00
battery,30% Charging:true,Sun Jul 10 00:46:17 EDT 2016,30% Charging:true,1:00
battery,35% Charging:true,Sun Jul 10 00:49:17 EDT 2016,40% Charging:true,1:00
battery,40% Charging:true,Sun Jul 10 00:52:17 EDT 2016,40% Charging:true,1:00
battery,55% Charging:true,Sun Jul 10 01:04:16 EDT 2016,60% Charging:true,1:00
battery,60% Charging:true,Sun Jul 10 01:10:16 EDT 2016,60% Charging:true,1:00
battery,65% Charging:true,Sun Jul 10 01:16:17 EDT 2016,70% Charging:true,1:00
battery,70% Charging:true,Sun Jul 10 01:23:17 EDT 2016,70% Charging:true,1:00
battery,75% Charging:true,Sun Jul 10 01:29:17 EDT 2016,80% Charging:true,1:00
battery,80% Charging:true,Sun Jul 10 01:35:17 EDT 2016,80% Charging:true,2:00
battery,85% Charging:true,Sun Jul 10 01:42:17 EDT 2016,90% Charging:true,2:00
battery,90% Charging:true,Sun Jul 10 01:48:17 EDT 2016,90% Charging:true,2:00
battery,95% Charging:true,Sun Jul 10 01:59:17 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jul 10 02:18:17 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jul 10 02:30:17 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jul 10 02:41:17 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jul 10 02:51:17 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jul 10 03:01:17 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jul 10 03:11:17 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jul 10 03:22:17 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jul 10 03:33:17 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 03:43:17 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 03:53:17 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 04:03:17 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 04:14:01 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 04:24:17 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jul 10 04:34:17 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 04:44:17 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 04:55:49 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 05:05:17 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 05:15:17 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 05:25:49 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jul 10 05:35:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 05:45:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 05:56:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 06:06:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 06:16:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 06:26:17 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jul 10 06:36:17 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 06:47:17 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 06:58:17 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 07:08:17 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 07:18:17 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 07:28:32 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jul 10 07:39:17 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 07:49:18 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 08:00:18 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 08:10:18 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 08:20:18 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 08:30:18 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jul 10 08:40:18 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sun Jul 10 08:50:18 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sun Jul 10 09:01:02 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sun Jul 10 09:11:18 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sun Jul 10 09:21:18 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sun Jul 10 09:31:18 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 09:43:01 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 09:52:18 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 10:02:18 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 10:13:18 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 10:23:18 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Sun Jul 10 10:33:18 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 10:43:32 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 10:54:17 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 11:04:17 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 11:15:17 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 11:25:17 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Sun Jul 10 11:36:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 11:46:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 11:57:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 12:07:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 12:18:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 12:29:17 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Sun Jul 10 12:39:17 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Sun Jul 10 12:50:17 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Sun Jul 10 13:00:17 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Sun Jul 10 13:10:17 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Sun Jul 10 13:21:03 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Sun Jul 10 13:31:17 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 13:41:17 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 13:52:17 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 14:02:30 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 14:12:18 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 14:22:19 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Sun Jul 10 14:32:19 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 14:42:19 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 14:52:19 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 15:02:19 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 15:13:33 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 15:24:19 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Sun Jul 10 15:34:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 15:45:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 15:55:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 16:05:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 16:15:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 16:25:19 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Sun Jul 10 16:35:19 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 16:45:19 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 16:56:30 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 17:06:17 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 17:16:17 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 17:27:17 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Sun Jul 10 17:37:27 EDT 2016,100% Charging:true,18:00
battery,95% Charging:false,Sun Jul 10 18:20:24 EDT 2016,100% Charging:false,18:00
battery,90% Charging:false,Sun Jul 10 18:31:56 EDT 2016,90% Charging:false,19:00
battery,85% Charging:false,Sun Jul 10 19:04:44 EDT 2016,90% Charging:false,19:00
battery,80% Charging:false,Sun Jul 10 20:00:23 EDT 2016,80% Charging:false,20:00
battery,75% Charging:false,Sun Jul 10 21:00:23 EDT 2016,80% Charging:false,21:00
battery,70% Charging:false,Sun Jul 10 21:50:23 EDT 2016,70% Charging:false,22:00
battery,65% Charging:false,Sun Jul 10 22:40:23 EDT 2016,70% Charging:false,23:00
