battery,60% Charging:true,Fri Oct 21 00:03:44 EDT 2016,60% Charging:true,0:00
battery,65% Charging:true,Fri Oct 21 00:09:45 EDT 2016,70% Charging:true,0:00
battery,70% Charging:true,Fri Oct 21 00:15:45 EDT 2016,70% Charging:true,0:00
battery,75% Charging:true,Fri Oct 21 00:21:45 EDT 2016,80% Charging:true,0:00
battery,80% Charging:true,Fri Oct 21 00:27:45 EDT 2016,80% Charging:true,0:00
battery,85% Charging:true,Fri Oct 21 00:33:45 EDT 2016,90% Charging:true,1:00
battery,90% Charging:true,Fri Oct 21 00:41:43 EDT 2016,90% Charging:true,1:00
battery,95% Charging:true,Fri Oct 21 00:56:43 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Oct 21 01:08:43 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Oct 21 01:19:43 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Oct 21 01:29:43 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Oct 21 01:39:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 01:49:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 01:59:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 02:09:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 02:20:03 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 02:30:43 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Oct 21 02:41:42 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Oct 21 02:51:42 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Oct 21 03:01:42 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Oct 21 03:13:42 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Oct 21 03:23:42 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Oct 21 03:34:42 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 03:46:41 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 03:56:41 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 04:06:41 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 04:16:41 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 04:27:41 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Oct 21 04:38:39 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Oct 21 04:48:39 EDT 2016,100% Charging:true,5:00
