battery,15% Charging:false,Sat Oct 22 00:25:17 EDT 2016,20% Charging:false,0:00
battery,35% Charging:true,Sat Oct 22 01:37:00 EDT 2016,40% Charging:true,2:00
battery,40% Charging:true,Sat Oct 22 01:41:00 EDT 2016,40% Charging:true,2:00
battery,45% Charging:true,Sat Oct 22 01:47:00 EDT 2016,50% Charging:true,2:00
battery,50% Charging:true,Sat Oct 22 01:53:00 EDT 2016,50% Charging:true,2:00
battery,55% Charging:true,Sat Oct 22 01:59:00 EDT 2016,60% Charging:true,2:00
battery,60% Charging:true,Sat Oct 22 02:05:00 EDT 2016,60% Charging:true,2:00
battery,65% Charging:true,Sat Oct 22 02:11:00 EDT 2016,70% Charging:true,2:00
battery,70% Charging:true,Sat Oct 22 02:17:00 EDT 2016,70% Charging:true,2:00
battery,75% Charging:true,Sat Oct 22 02:22:00 EDT 2016,80% Charging:true,2:00
battery,80% Charging:true,Sat Oct 22 02:28:00 EDT 2016,80% Charging:true,2:00
battery,85% Charging:true,Sat Oct 22 02:36:00 EDT 2016,90% Charging:true,3:00
battery,90% Charging:true,Sat Oct 22 02:44:00 EDT 2016,90% Charging:true,3:00
battery,95% Charging:true,Sat Oct 22 03:01:00 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sat Oct 22 03:09:00 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sat Oct 22 03:20:00 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sat Oct 22 03:30:58 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sat Oct 22 03:40:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sat Oct 22 03:50:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sat Oct 22 04:00:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sat Oct 22 04:10:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sat Oct 22 04:21:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sat Oct 22 04:31:59 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 04:42:59 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 04:52:59 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 05:03:39 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 05:13:41 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 05:23:59 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sat Oct 22 05:33:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 05:44:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 05:54:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 06:05:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 06:15:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 06:25:59 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sat Oct 22 06:37:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 06:47:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 06:57:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 07:08:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 07:18:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 07:29:59 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sat Oct 22 07:40:59 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sat Oct 22 07:50:59 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sat Oct 22 08:01:59 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sat Oct 22 08:12:59 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sat Oct 22 08:22:59 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sat Oct 22 08:33:47 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sat Oct 22 08:43:59 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Sat Oct 22 08:53:59 EDT 2016,100% Charging:true,9:00
