battery,40% Charging:true,Wed Oct 26 00:04:59 EDT 2016,40% Charging:true,0:00
battery,45% Charging:true,Wed Oct 26 00:10:59 EDT 2016,50% Charging:true,0:00
battery,50% Charging:true,Wed Oct 26 00:16:59 EDT 2016,50% Charging:true,0:00
battery,55% Charging:true,Wed Oct 26 00:22:59 EDT 2016,60% Charging:true,0:00
battery,60% Charging:true,Wed Oct 26 00:28:59 EDT 2016,60% Charging:true,0:00
battery,65% Charging:true,Wed Oct 26 00:33:59 EDT 2016,70% Charging:true,1:00
battery,70% Charging:true,Wed Oct 26 00:39:59 EDT 2016,70% Charging:true,1:00
battery,75% Charging:true,Wed Oct 26 00:45:59 EDT 2016,80% Charging:true,1:00
battery,80% Charging:true,Wed Oct 26 00:51:59 EDT 2016,80% Charging:true,1:00
battery,85% Charging:true,Wed Oct 26 00:57:59 EDT 2016,90% Charging:true,1:00
battery,90% Charging:true,Wed Oct 26 01:08:58 EDT 2016,90% Charging:true,1:00
battery,95% Charging:true,Wed Oct 26 01:27:59 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Wed Oct 26 01:31:58 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 01:41:59 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 01:51:59 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 02:02:59 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 02:12:59 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 02:22:59 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Wed Oct 26 02:32:59 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 02:43:39 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 02:53:59 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 03:03:59 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 03:13:59 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 03:24:59 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Wed Oct 26 03:35:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 03:45:59 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 03:56:57 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 04:06:57 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 04:17:57 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 04:27:57 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Wed Oct 26 04:37:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 04:47:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 04:57:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 05:08:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 05:18:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 05:28:57 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Wed Oct 26 05:38:57 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Wed Oct 26 05:48:57 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Wed Oct 26 05:58:57 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Wed Oct 26 06:09:57 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Wed Oct 26 06:21:57 EDT 2016,100% Charging:true,6:00
