battery,40% Charging:true,Tue Nov 01 00:19:31 EDT 2016,40% Charging:true,0:00
battery,45% Charging:true,Tue Nov 01 00:24:32 EDT 2016,50% Charging:true,0:00
battery,50% Charging:true,Tue Nov 01 00:30:32 EDT 2016,50% Charging:true,0:00
battery,55% Charging:true,Tue Nov 01 00:36:32 EDT 2016,60% Charging:true,1:00
battery,60% Charging:true,Tue Nov 01 00:42:32 EDT 2016,60% Charging:true,1:00
battery,65% Charging:true,Tue Nov 01 00:48:32 EDT 2016,70% Charging:true,1:00
battery,70% Charging:true,Tue Nov 01 00:53:31 EDT 2016,70% Charging:true,1:00
battery,75% Charging:true,Tue Nov 01 01:01:32 EDT 2016,80% Charging:true,1:00
battery,80% Charging:true,Tue Nov 01 01:05:32 EDT 2016,80% Charging:true,1:00
battery,85% Charging:true,Tue Nov 01 01:11:32 EDT 2016,90% Charging:true,1:00
battery,90% Charging:true,Tue Nov 01 01:20:32 EDT 2016,90% Charging:true,1:00
battery,95% Charging:true,Tue Nov 01 01:37:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 01:49:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 02:00:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 02:10:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 02:20:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 02:30:31 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Nov 01 02:40:31 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Nov 01 02:50:31 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Nov 01 03:01:31 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Nov 01 03:11:39 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Nov 01 03:22:31 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Nov 01 03:33:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 03:44:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 03:54:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 04:04:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 04:15:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 04:25:31 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Nov 01 04:35:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 04:45:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 04:55:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 05:06:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 05:17:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 05:27:31 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Nov 01 05:38:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 05:48:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 05:58:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 06:08:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 06:19:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 06:29:31 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Nov 01 06:40:31 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Nov 01 06:51:31 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Nov 01 07:01:48 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Nov 01 07:12:31 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Nov 01 07:23:31 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Nov 01 07:33:31 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 07:43:31 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 07:53:31 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 08:05:31 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 08:16:31 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 08:30:01 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Nov 01 08:36:31 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 08:48:31 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 08:56:31 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 09:08:01 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 09:17:31 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 09:27:31 EDT 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Nov 01 09:41:39 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Nov 01 09:52:50 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Nov 01 10:02:31 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Nov 01 10:11:42 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Nov 01 10:22:30 EDT 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Nov 01 10:41:45 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Nov 01 10:52:31 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Nov 01 11:02:31 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Nov 01 11:12:31 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Nov 01 11:22:31 EDT 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Nov 01 11:32:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 11:43:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 11:53:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:04:30 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:14:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:25:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:35:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 12:46:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 12:57:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:08:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:18:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:28:48 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:39:30 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 13:51:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 13:59:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:11:01 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:20:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:31:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 14:41:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 14:52:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:02:16 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:12:05 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:22:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:33:01 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 15:42:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 15:52:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:02:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:12:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:22:31 EDT 2016,100% Charging:true,16:00
