battery,50% Charging:true,Fri Nov 11 00:01:53 EST 2016,50% Charging:true,0:00
battery,55% Charging:true,Fri Nov 11 00:07:53 EST 2016,60% Charging:true,0:00
battery,60% Charging:true,Fri Nov 11 00:13:53 EST 2016,60% Charging:true,0:00
battery,65% Charging:true,Fri Nov 11 00:19:53 EST 2016,70% Charging:true,0:00
battery,70% Charging:true,Fri Nov 11 00:25:53 EST 2016,70% Charging:true,0:00
battery,75% Charging:true,Fri Nov 11 00:30:52 EST 2016,80% Charging:true,0:00
battery,80% Charging:true,Fri Nov 11 00:36:53 EST 2016,80% Charging:true,1:00
battery,85% Charging:true,Fri Nov 11 00:43:51 EST 2016,90% Charging:true,1:00
battery,90% Charging:true,Fri Nov 11 00:53:50 EST 2016,90% Charging:true,1:00
battery,95% Charging:true,Fri Nov 11 01:11:51 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Nov 11 01:18:50 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Nov 11 01:28:51 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Nov 11 01:39:51 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Nov 11 01:49:52 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Nov 11 01:59:52 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Nov 11 02:10:52 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Nov 11 02:21:52 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Nov 11 02:31:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 02:42:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 02:52:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 03:02:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 03:13:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 03:23:52 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Nov 11 03:33:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 03:43:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 03:53:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 04:04:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 04:14:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 04:24:52 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Nov 11 04:34:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 04:44:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 04:54:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 05:04:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 05:15:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 05:26:52 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Nov 11 05:36:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 05:46:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 05:56:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 06:07:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 06:17:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 06:28:52 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Nov 11 06:38:52 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Nov 11 06:49:52 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Nov 11 07:00:01 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Nov 11 07:10:52 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Nov 11 07:20:52 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Nov 11 07:31:23 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 07:41:52 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 07:52:52 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 08:02:52 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 08:12:52 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 08:22:52 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Nov 11 08:32:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 08:42:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 08:53:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 09:04:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 09:15:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 09:25:52 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Fri Nov 11 09:36:52 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 09:45:53 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 09:56:53 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 10:08:01 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 10:17:52 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 10:28:52 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Fri Nov 11 10:38:52 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 10:48:53 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 10:59:52 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 11:09:52 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 11:20:51 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 11:30:51 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Fri Nov 11 11:40:52 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Fri Nov 11 11:51:53 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Fri Nov 11 12:01:52 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Fri Nov 11 12:12:52 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Fri Nov 11 12:22:55 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Fri Nov 11 12:33:52 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 12:44:52 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 12:56:53 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 13:06:01 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 13:15:52 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 13:26:52 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Fri Nov 11 13:38:52 EST 2016,100% Charging:true,14:00
battery,100% Charging:true,Fri Nov 11 13:48:52 EST 2016,100% Charging:true,14:00
battery,100% Charging:true,Fri Nov 11 13:59:51 EST 2016,100% Charging:true,14:00
battery,100% Charging:false,Fri Nov 11 14:15:15 EST 2016,100% Charging:false,14:00
battery,95% Charging:false,Fri Nov 11 14:46:01 EST 2016,100% Charging:false,15:00
battery,90% Charging:false,Fri Nov 11 15:25:15 EST 2016,90% Charging:false,15:00
battery,85% Charging:false,Fri Nov 11 16:35:16 EST 2016,90% Charging:false,17:00
battery,85% Charging:false,Fri Nov 11 16:45:16 EST 2016,90% Charging:false,17:00
battery,80% Charging:false,Fri Nov 11 17:36:01 EST 2016,80% Charging:false,18:00
battery,75% Charging:false,Fri Nov 11 18:35:17 EST 2016,80% Charging:false,19:00
battery,70% Charging:false,Fri Nov 11 19:34:45 EST 2016,70% Charging:false,20:00
battery,65% Charging:false,Fri Nov 11 20:14:16 EST 2016,70% Charging:false,20:00
battery,65% Charging:false,Fri Nov 11 20:25:05 EST 2016,70% Charging:false,20:00
battery,60% Charging:false,Fri Nov 11 21:35:17 EST 2016,60% Charging:false,22:00
battery,55% Charging:false,Fri Nov 11 22:45:17 EST 2016,60% Charging:false,23:00
battery,50% Charging:false,Fri Nov 11 23:45:17 EST 2016,50% Charging:false,0:00
