battery,50% Charging:true,Tue Dec 06 00:02:15 EST 2016,50% Charging:true,0:00
battery,55% Charging:true,Tue Dec 06 00:06:14 EST 2016,60% Charging:true,0:00
battery,60% Charging:true,Tue Dec 06 00:12:14 EST 2016,60% Charging:true,0:00
battery,65% Charging:true,Tue Dec 06 00:18:14 EST 2016,70% Charging:true,0:00
battery,70% Charging:true,Tue Dec 06 00:24:14 EST 2016,70% Charging:true,0:00
battery,75% Charging:true,Tue Dec 06 00:29:14 EST 2016,80% Charging:true,0:00
battery,80% Charging:true,Tue Dec 06 00:35:14 EST 2016,80% Charging:true,1:00
battery,85% Charging:true,Tue Dec 06 00:41:14 EST 2016,90% Charging:true,1:00
battery,90% Charging:true,Tue Dec 06 00:52:14 EST 2016,90% Charging:true,1:00
battery,95% Charging:true,Tue Dec 06 01:12:15 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Tue Dec 06 01:16:15 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Tue Dec 06 01:27:14 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Tue Dec 06 01:38:14 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 01:50:00 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 01:59:12 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 02:09:12 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 02:19:12 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 02:29:12 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Tue Dec 06 02:39:12 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Dec 06 02:50:10 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Dec 06 03:12:01 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Dec 06 03:19:10 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Dec 06 03:29:10 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Tue Dec 06 03:39:10 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Dec 06 03:50:08 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Dec 06 04:00:09 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Dec 06 04:11:08 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Dec 06 04:22:08 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Tue Dec 06 04:33:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 04:43:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 04:53:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 05:03:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 05:14:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 05:24:08 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Tue Dec 06 05:34:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 05:45:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 05:56:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 06:06:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 06:16:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 06:26:08 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Tue Dec 06 06:36:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 06:47:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 06:57:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 07:08:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 07:18:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 07:28:08 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Tue Dec 06 07:38:08 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 07:48:39 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 07:58:40 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 08:09:08 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 08:19:08 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 08:29:08 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Tue Dec 06 08:39:08 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Dec 06 08:49:08 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Dec 06 08:59:08 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Dec 06 09:10:08 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Dec 06 09:20:09 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Tue Dec 06 09:31:08 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 09:41:09 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 09:51:09 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 10:01:09 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 10:12:09 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 10:23:08 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Tue Dec 06 10:33:09 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Dec 06 10:46:54 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Dec 06 10:55:28 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Dec 06 11:06:09 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Tue Dec 06 11:17:07 EST 2016,100% Charging:true,11:00
