battery,60% Charging:true,Fri Dec 23 00:04:37 EST 2016,60% Charging:true,0:00
battery,65% Charging:true,Fri Dec 23 00:07:37 EST 2016,70% Charging:true,0:00
battery,70% Charging:true,Fri Dec 23 00:13:37 EST 2016,70% Charging:true,0:00
battery,75% Charging:true,Fri Dec 23 00:20:01 EST 2016,80% Charging:true,0:00
battery,80% Charging:true,Fri Dec 23 00:25:37 EST 2016,80% Charging:true,0:00
battery,85% Charging:true,Fri Dec 23 00:33:37 EST 2016,90% Charging:true,1:00
battery,90% Charging:true,Fri Dec 23 00:43:37 EST 2016,90% Charging:true,1:00
battery,95% Charging:true,Fri Dec 23 00:58:37 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Dec 23 01:13:37 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Dec 23 01:23:01 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Fri Dec 23 01:34:01 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 01:45:37 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 01:53:37 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 02:09:07 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 02:15:37 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 02:24:49 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Fri Dec 23 02:34:01 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 02:46:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 02:54:37 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 03:03:38 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 03:15:01 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 03:24:37 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Fri Dec 23 03:34:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 03:44:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 03:54:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 04:06:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 04:15:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 04:25:37 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Fri Dec 23 04:35:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 04:46:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 04:56:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 05:06:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 05:16:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 05:26:37 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Fri Dec 23 05:36:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 05:46:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 05:56:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 06:06:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 06:16:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 06:26:37 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Fri Dec 23 06:36:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 06:47:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 06:57:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 07:07:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 07:17:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 07:27:37 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Fri Dec 23 07:37:37 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Fri Dec 23 07:47:37 EST 2016,100% Charging:true,8:00
