battery,50% Charging:true,Mon Dec 26 00:03:31 EST 2016,50% Charging:true,0:00
battery,55% Charging:true,Mon Dec 26 00:09:16 EST 2016,60% Charging:true,0:00
battery,60% Charging:true,Mon Dec 26 00:15:16 EST 2016,60% Charging:true,0:00
battery,65% Charging:true,Mon Dec 26 00:21:16 EST 2016,70% Charging:true,0:00
battery,70% Charging:true,Mon Dec 26 00:27:15 EST 2016,70% Charging:true,0:00
battery,75% Charging:true,Mon Dec 26 00:33:31 EST 2016,80% Charging:true,1:00
battery,80% Charging:true,Mon Dec 26 00:39:16 EST 2016,80% Charging:true,1:00
battery,85% Charging:true,Mon Dec 26 00:46:16 EST 2016,90% Charging:true,1:00
battery,90% Charging:true,Mon Dec 26 00:57:15 EST 2016,90% Charging:true,1:00
battery,95% Charging:true,Mon Dec 26 01:18:15 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Mon Dec 26 01:24:16 EST 2016,100% Charging:true,1:00
battery,100% Charging:true,Mon Dec 26 01:35:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 01:46:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 01:56:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 02:07:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 02:17:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 02:28:16 EST 2016,100% Charging:true,2:00
battery,100% Charging:true,Mon Dec 26 02:38:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Dec 26 02:50:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Dec 26 03:01:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Dec 26 03:11:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Dec 26 03:21:16 EST 2016,100% Charging:true,3:00
battery,100% Charging:true,Mon Dec 26 03:31:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 03:41:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 03:51:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 04:02:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 04:13:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 04:23:16 EST 2016,100% Charging:true,4:00
battery,100% Charging:true,Mon Dec 26 04:33:16 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 04:44:16 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 04:54:16 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 05:04:16 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 05:15:16 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 05:26:17 EST 2016,100% Charging:true,5:00
battery,100% Charging:true,Mon Dec 26 05:37:16 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Dec 26 05:47:16 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Dec 26 05:58:16 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Dec 26 06:10:16 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Dec 26 06:20:16 EST 2016,100% Charging:true,6:00
battery,100% Charging:true,Mon Dec 26 06:31:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 06:42:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 06:52:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 07:02:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 07:12:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 07:23:16 EST 2016,100% Charging:true,7:00
battery,100% Charging:true,Mon Dec 26 07:34:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 07:44:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 07:54:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 08:04:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 08:14:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 08:25:16 EST 2016,100% Charging:true,8:00
battery,100% Charging:true,Mon Dec 26 08:35:16 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 08:45:16 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 08:56:16 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 09:07:32 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 09:18:16 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 09:29:16 EST 2016,100% Charging:true,9:00
battery,100% Charging:true,Mon Dec 26 09:39:17 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Dec 26 09:50:16 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Dec 26 10:00:16 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Dec 26 10:10:16 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Dec 26 10:21:16 EST 2016,100% Charging:true,10:00
battery,100% Charging:true,Mon Dec 26 10:31:19 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Dec 26 10:41:17 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Dec 26 10:52:16 EST 2016,100% Charging:true,11:00
battery,100% Charging:true,Mon Dec 26 11:02:17 EST 2016,100% Charging:true,11:00
battery,100% Charging:false,Mon Dec 26 11:16:34 EST 2016,100% Charging:false,11:00
battery,100% Charging:false,Mon Dec 26 11:29:52 EST 2016,100% Charging:false,11:00
battery,95% Charging:false,Mon Dec 26 12:09:52 EST 2016,100% Charging:false,12:00
battery,90% Charging:false,Mon Dec 26 13:06:46 EST 2016,90% Charging:false,13:00
battery,85% Charging:false,Mon Dec 26 14:19:52 EST 2016,90% Charging:false,14:00
battery,80% Charging:false,Mon Dec 26 15:35:08 EST 2016,80% Charging:false,16:00
battery,75% Charging:false,Mon Dec 26 16:29:52 EST 2016,80% Charging:false,16:00
battery,70% Charging:false,Mon Dec 26 17:19:52 EST 2016,70% Charging:false,17:00
battery,65% Charging:false,Mon Dec 26 18:39:52 EST 2016,70% Charging:false,19:00
battery,65% Charging:false,Mon Dec 26 18:56:17 EST 2016,70% Charging:false,19:00
battery,60% Charging:false,Mon Dec 26 19:49:52 EST 2016,60% Charging:false,20:00
battery,60% Charging:false,Mon Dec 26 20:06:16 EST 2016,60% Charging:false,20:00
battery,55% Charging:false,Mon Dec 26 21:09:52 EST 2016,60% Charging:false,21:00
battery,50% Charging:false,Mon Dec 26 22:19:52 EST 2016,50% Charging:false,22:00
battery,40% Charging:false,Mon Dec 26 23:49:52 EST 2016,40% Charging:false,0:00
