battery,60% Charging:true,Fri Jan 06 00:02:01 EST 2017,60% Charging:true,0:00
battery,65% Charging:true,Fri Jan 06 00:07:55 EST 2017,70% Charging:true,0:00
battery,70% Charging:true,Fri Jan 06 00:12:54 EST 2017,70% Charging:true,0:00
battery,75% Charging:true,Fri Jan 06 00:18:54 EST 2017,80% Charging:true,0:00
battery,80% Charging:true,Fri Jan 06 00:24:55 EST 2017,80% Charging:true,0:00
battery,85% Charging:true,Fri Jan 06 00:31:55 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Fri Jan 06 00:42:55 EST 2017,90% Charging:true,1:00
battery,95% Charging:true,Fri Jan 06 01:04:01 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jan 06 01:06:54 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jan 06 01:17:55 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jan 06 01:27:55 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jan 06 01:37:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 01:48:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 01:58:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 02:08:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 02:18:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 02:28:55 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jan 06 02:38:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 02:48:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 02:59:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 03:09:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 03:19:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 03:29:55 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jan 06 03:40:55 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jan 06 03:51:55 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jan 06 04:02:54 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jan 06 04:12:55 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jan 06 04:25:55 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jan 06 04:34:55 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 04:44:55 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 04:54:55 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 05:04:55 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 05:14:55 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 05:25:54 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jan 06 05:35:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 05:46:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 05:56:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 06:07:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 06:17:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 06:27:55 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jan 06 06:38:55 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jan 06 06:48:55 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jan 06 06:58:55 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jan 06 07:08:55 EST 2017,100% Charging:true,7:00
