battery,40% Charging:true,Sat Jan 14 00:16:09 EST 2017,40% Charging:true,0:00
battery,45% Charging:true,Sat Jan 14 00:21:53 EST 2017,50% Charging:true,0:00
battery,50% Charging:true,Sat Jan 14 00:27:53 EST 2017,50% Charging:true,0:00
battery,55% Charging:true,Sat Jan 14 00:33:53 EST 2017,60% Charging:true,1:00
battery,60% Charging:true,Sat Jan 14 00:39:53 EST 2017,60% Charging:true,1:00
battery,65% Charging:true,Sat Jan 14 00:45:52 EST 2017,70% Charging:true,1:00
battery,70% Charging:true,Sat Jan 14 00:51:53 EST 2017,70% Charging:true,1:00
battery,75% Charging:true,Sat Jan 14 00:56:53 EST 2017,80% Charging:true,1:00
battery,80% Charging:true,Sat Jan 14 01:02:53 EST 2017,80% Charging:true,1:00
battery,85% Charging:true,Sat Jan 14 01:10:53 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Sat Jan 14 01:21:53 EST 2017,90% Charging:true,1:00
battery,95% Charging:true,Sat Jan 14 01:45:01 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 01:45:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 01:56:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 02:06:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 02:16:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 02:26:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Jan 14 02:36:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 02:46:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 02:56:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 03:06:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 03:16:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 03:26:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Jan 14 03:36:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 03:47:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 03:58:27 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 04:08:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 04:19:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 04:29:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Jan 14 04:40:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Jan 14 04:52:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Jan 14 05:03:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Jan 14 05:13:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Jan 14 05:23:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Jan 14 05:33:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 05:43:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 05:53:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 06:03:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 06:13:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 06:25:01 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Jan 14 06:37:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 06:49:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 06:59:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 07:09:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 07:19:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 07:29:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Jan 14 07:39:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Jan 14 07:49:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Jan 14 07:59:53 EST 2017,100% Charging:true,8:00
