battery,70% Charging:true,Sat Feb 11 00:04:00 EST 2017,70% Charging:true,0:00
battery,75% Charging:true,Sat Feb 11 00:09:29 EST 2017,80% Charging:true,0:00
battery,80% Charging:true,Sat Feb 11 00:15:29 EST 2017,80% Charging:true,0:00
battery,85% Charging:true,Sat Feb 11 00:21:28 EST 2017,90% Charging:true,0:00
battery,90% Charging:true,Sat Feb 11 00:30:27 EST 2017,90% Charging:true,0:00
battery,95% Charging:true,Sat Feb 11 00:46:27 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat Feb 11 01:00:28 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat Feb 11 01:11:27 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat Feb 11 01:22:33 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat Feb 11 01:33:25 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 01:43:25 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 01:53:25 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 02:04:25 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 02:14:25 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 02:25:23 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat Feb 11 02:35:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 02:45:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 02:55:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 03:06:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 03:16:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 03:27:21 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat Feb 11 03:37:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 03:47:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 03:57:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 04:07:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 04:17:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 04:28:20 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat Feb 11 04:38:20 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Feb 11 04:49:20 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Feb 11 04:59:20 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Feb 11 05:10:20 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Feb 11 05:21:18 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat Feb 11 05:32:18 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 05:44:18 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 05:54:18 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 06:05:18 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 06:15:18 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 06:26:17 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat Feb 11 06:36:17 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 06:46:17 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 06:56:17 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 07:06:17 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 07:16:17 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 07:27:15 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat Feb 11 07:37:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 07:47:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 07:57:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 08:07:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 08:17:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 08:27:15 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat Feb 11 08:38:13 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 08:48:26 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 08:58:30 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 09:09:12 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 09:19:12 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 09:29:12 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat Feb 11 09:40:17 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat Feb 11 09:51:09 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat Feb 11 10:01:09 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat Feb 11 10:11:09 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat Feb 11 10:22:09 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat Feb 11 10:32:17 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 10:43:08 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 10:54:06 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 11:04:06 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 11:14:06 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 11:25:03 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat Feb 11 11:35:03 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 11:46:02 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 11:48:36 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 11:59:01 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 12:09:01 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 12:20:00 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 12:30:00 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sat Feb 11 12:40:57 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sat Feb 11 12:50:57 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sat Feb 11 13:00:57 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sat Feb 11 13:10:57 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sat Feb 11 13:21:56 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sat Feb 11 13:31:56 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sat Feb 11 13:41:56 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sat Feb 11 13:52:17 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sat Feb 11 14:02:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:false,Sat Feb 11 14:17:09 EST 2017,100% Charging:false,14:00
battery,100% Charging:false,Sat Feb 11 14:28:27 EST 2017,100% Charging:false,14:00
battery,100% Charging:false,Sat Feb 11 14:40:17 EST 2017,100% Charging:false,15:00
battery,100% Charging:false,Sat Feb 11 14:52:17 EST 2017,100% Charging:false,15:00
battery,100% Charging:false,Sat Feb 11 15:07:06 EST 2017,100% Charging:false,15:00
battery,100% Charging:false,Sat Feb 11 15:22:17 EST 2017,100% Charging:false,15:00
battery,95% Charging:false,Sat Feb 11 17:17:02 EST 2017,100% Charging:false,17:00
battery,95% Charging:false,Sat Feb 11 17:28:27 EST 2017,100% Charging:false,17:00
battery,95% Charging:false,Sat Feb 11 17:38:27 EST 2017,100% Charging:false,18:00
battery,95% Charging:false,Sat Feb 11 17:48:27 EST 2017,100% Charging:false,18:00
battery,95% Charging:false,Sat Feb 11 18:05:10 EST 2017,100% Charging:false,18:00
battery,85% Charging:false,Sat Feb 11 22:18:01 EST 2017,90% Charging:false,22:00
battery,80% Charging:false,Sat Feb 11 23:06:53 EST 2017,80% Charging:false,23:00
battery,75% Charging:false,Sat Feb 11 23:58:01 EST 2017,80% Charging:false,0:00
