battery,20% Charging:false,Wed Feb 15 00:28:28 EST 2017,20% Charging:false,0:00
battery,20% Charging:true,Wed Feb 15 00:34:01 EST 2017,20% Charging:true,1:00
battery,25% Charging:true,Wed Feb 15 00:36:28 EST 2017,30% Charging:true,1:00
battery,30% Charging:true,Wed Feb 15 00:40:28 EST 2017,30% Charging:true,1:00
battery,35% Charging:true,Wed Feb 15 00:46:28 EST 2017,40% Charging:true,1:00
battery,40% Charging:true,Wed Feb 15 00:51:26 EST 2017,40% Charging:true,1:00
battery,45% Charging:true,Wed Feb 15 00:57:26 EST 2017,50% Charging:true,1:00
battery,50% Charging:true,Wed Feb 15 01:03:26 EST 2017,50% Charging:true,1:00
battery,55% Charging:true,Wed Feb 15 01:08:26 EST 2017,60% Charging:true,1:00
battery,60% Charging:true,Wed Feb 15 01:14:26 EST 2017,60% Charging:true,1:00
battery,65% Charging:true,Wed Feb 15 01:19:26 EST 2017,70% Charging:true,1:00
battery,70% Charging:true,Wed Feb 15 01:25:24 EST 2017,70% Charging:true,1:00
battery,75% Charging:true,Wed Feb 15 01:30:24 EST 2017,80% Charging:true,1:00
battery,80% Charging:true,Wed Feb 15 01:36:24 EST 2017,80% Charging:true,2:00
battery,85% Charging:true,Wed Feb 15 01:41:24 EST 2017,90% Charging:true,2:00
battery,90% Charging:true,Wed Feb 15 01:50:24 EST 2017,90% Charging:true,2:00
battery,95% Charging:true,Wed Feb 15 02:02:24 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Feb 15 02:22:24 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Feb 15 02:33:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 02:43:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 02:53:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 03:04:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 03:14:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 03:25:23 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Feb 15 03:35:23 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 03:46:23 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 03:56:23 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 04:07:23 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 04:18:23 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 04:28:27 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Feb 15 04:39:23 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Feb 15 04:49:29 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Feb 15 05:00:21 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Feb 15 05:11:21 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Feb 15 05:21:21 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Feb 15 05:32:21 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 05:42:21 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 05:52:21 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 06:03:20 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 06:13:20 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 06:23:20 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Feb 15 06:33:20 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 06:44:20 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 06:55:18 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 07:06:19 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 07:16:19 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 07:27:19 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Feb 15 07:37:19 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 07:48:19 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 07:58:27 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 08:08:27 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 08:19:17 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 08:29:17 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Feb 15 08:40:17 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Feb 15 08:50:17 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Feb 15 09:01:16 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Feb 15 09:11:16 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Feb 15 09:21:16 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Feb 15 09:32:13 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 09:43:01 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 09:53:14 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 10:04:14 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 10:15:14 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 10:26:12 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed Feb 15 10:36:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 10:46:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 10:56:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 11:07:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 11:17:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 11:28:12 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed Feb 15 11:37:12 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Feb 15 11:47:12 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Feb 15 11:58:12 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Feb 15 12:08:12 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Feb 15 12:19:19 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Feb 15 12:30:55 EST 2017,100% Charging:true,12:00
battery,100% Charging:false,Wed Feb 15 12:47:01 EST 2017,100% Charging:false,13:00
battery,100% Charging:false,Wed Feb 15 12:58:59 EST 2017,100% Charging:false,13:00
battery,95% Charging:false,Wed Feb 15 14:06:59 EST 2017,100% Charging:false,14:00
battery,95% Charging:false,Wed Feb 15 14:18:27 EST 2017,100% Charging:false,14:00
battery,90% Charging:false,Wed Feb 15 15:26:26 EST 2017,90% Charging:false,15:00
battery,90% Charging:false,Wed Feb 15 15:39:00 EST 2017,90% Charging:false,16:00
battery,85% Charging:false,Wed Feb 15 17:06:23 EST 2017,90% Charging:false,17:00
battery,80% Charging:false,Wed Feb 15 18:46:22 EST 2017,80% Charging:false,19:00
battery,80% Charging:false,Wed Feb 15 18:59:00 EST 2017,80% Charging:false,19:00
battery,75% Charging:false,Wed Feb 15 19:57:01 EST 2017,80% Charging:false,20:00
battery,75% Charging:false,Wed Feb 15 20:06:18 EST 2017,80% Charging:false,20:00
battery,70% Charging:false,Wed Feb 15 20:57:01 EST 2017,70% Charging:false,21:00
battery,65% Charging:false,Wed Feb 15 21:36:17 EST 2017,70% Charging:false,22:00
battery,55% Charging:false,Wed Feb 15 23:36:17 EST 2017,60% Charging:false,0:00
