battery,65% Charging:false,Sun Feb 19 00:09:19 EST 2017,70% Charging:false,0:00
battery,65% Charging:true,Sun Feb 19 00:32:01 EST 2017,70% Charging:true,1:00
battery,70% Charging:true,Sun Feb 19 00:36:51 EST 2017,70% Charging:true,1:00
battery,75% Charging:true,Sun Feb 19 00:42:51 EST 2017,80% Charging:true,1:00
battery,80% Charging:true,Sun Feb 19 00:47:51 EST 2017,80% Charging:true,1:00
battery,85% Charging:true,Sun Feb 19 00:54:51 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Sun Feb 19 01:05:50 EST 2017,90% Charging:true,1:00
battery,95% Charging:true,Sun Feb 19 01:23:51 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 19 01:35:51 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 01:45:51 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 01:58:27 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 02:06:51 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 02:16:51 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 02:26:51 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 19 02:36:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 02:46:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 02:56:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 03:07:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 03:18:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 03:28:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 19 03:38:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 03:48:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 03:58:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 04:08:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 04:18:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 04:29:51 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 19 04:39:51 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 19 04:49:51 EST 2017,100% Charging:true,5:00
