battery,90% Charging:true,Thu Feb 23 00:04:35 EST 2017,90% Charging:true,0:00
battery,95% Charging:true,Thu Feb 23 00:22:10 EST 2017,100% Charging:true,0:00
battery,100% Charging:true,Thu Feb 23 00:29:09 EST 2017,100% Charging:true,0:00
battery,100% Charging:true,Thu Feb 23 00:40:09 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Thu Feb 23 00:50:09 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Thu Feb 23 01:01:08 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Thu Feb 23 01:11:09 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Thu Feb 23 01:21:09 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Thu Feb 23 01:31:09 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 01:42:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 01:53:10 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 02:04:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 02:15:09 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 02:25:09 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Feb 23 02:37:09 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 02:47:09 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 02:57:09 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 03:08:09 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 03:18:34 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 03:28:34 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Feb 23 03:38:34 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 03:48:37 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 03:59:07 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 04:10:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 04:20:07 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 04:30:07 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Feb 23 04:40:07 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Feb 23 04:52:01 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Feb 23 05:02:05 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Feb 23 05:14:05 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Feb 23 05:24:05 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Feb 23 05:34:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 05:45:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 05:55:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 06:05:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 06:16:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 06:26:05 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Feb 23 06:37:05 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 06:48:05 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 06:58:34 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 07:08:05 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 07:18:34 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 07:28:34 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Feb 23 07:38:34 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 07:49:05 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 07:59:05 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 08:08:34 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 08:18:35 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 08:28:56 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Feb 23 08:39:04 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 08:50:34 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 08:59:05 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 09:09:06 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 09:20:04 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 09:30:35 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Feb 23 09:40:06 EST 2017,100% Charging:true,10:00
battery,100% Charging:false,Thu Feb 23 09:51:41 EST 2017,100% Charging:false,10:00
battery,90% Charging:false,Thu Feb 23 11:38:59 EST 2017,90% Charging:false,12:00
battery,90% Charging:false,Thu Feb 23 11:51:40 EST 2017,90% Charging:false,12:00
battery,85% Charging:false,Thu Feb 23 12:51:37 EST 2017,90% Charging:false,13:00
battery,80% Charging:false,Thu Feb 23 13:42:57 EST 2017,80% Charging:false,14:00
battery,75% Charging:false,Thu Feb 23 14:21:41 EST 2017,80% Charging:false,14:00
battery,70% Charging:false,Thu Feb 23 15:50:31 EST 2017,70% Charging:false,16:00
battery,65% Charging:false,Thu Feb 23 19:42:01 EST 2017,70% Charging:false,20:00
battery,65% Charging:false,Thu Feb 23 19:51:41 EST 2017,70% Charging:false,20:00
battery,65% Charging:false,Thu Feb 23 20:01:41 EST 2017,70% Charging:false,20:00
battery,60% Charging:false,Thu Feb 23 21:51:41 EST 2017,60% Charging:false,22:00
battery,55% Charging:false,Thu Feb 23 22:51:40 EST 2017,60% Charging:false,23:00
battery,50% Charging:false,Thu Feb 23 23:51:41 EST 2017,50% Charging:false,0:00
