battery,80% Charging:true,Sun Feb 26 00:03:51 EST 2017,80% Charging:true,0:00
battery,85% Charging:true,Sun Feb 26 00:09:51 EST 2017,90% Charging:true,0:00
battery,90% Charging:true,Sun Feb 26 00:19:52 EST 2017,90% Charging:true,0:00
battery,95% Charging:true,Sun Feb 26 00:36:52 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 00:48:00 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 00:57:01 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 01:06:53 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 01:16:53 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 01:26:53 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Feb 26 01:37:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 01:47:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 01:58:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 02:09:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 02:19:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 02:30:53 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Feb 26 02:40:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 26 02:50:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 26 03:00:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 26 03:10:53 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 26 03:21:51 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Feb 26 03:31:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 03:41:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 03:52:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 04:03:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 04:14:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 04:25:53 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Feb 26 04:35:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 04:45:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 04:55:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 05:05:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 05:15:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 05:26:53 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Feb 26 05:36:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 05:47:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 05:57:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 06:07:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 06:17:53 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 06:28:27 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Feb 26 06:38:52 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 06:48:52 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 06:59:01 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 07:09:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 07:19:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 07:29:53 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Feb 26 07:39:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Feb 26 07:49:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Feb 26 07:59:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Feb 26 08:09:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Feb 26 08:19:53 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Feb 26 08:31:01 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 08:41:53 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 08:53:13 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 09:08:27 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 09:18:52 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 09:28:52 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Feb 26 09:38:35 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 09:48:52 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 09:58:27 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 10:09:01 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 10:19:52 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 10:29:52 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Feb 26 10:39:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 10:49:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 10:59:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 11:09:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 11:19:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 11:29:52 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Feb 26 11:39:52 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Feb 26 11:50:51 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Feb 26 12:01:12 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Feb 26 12:11:53 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Feb 26 12:22:53 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Feb 26 12:34:20 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 12:43:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 12:53:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 13:03:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 13:13:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 13:24:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 26 13:36:13 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 13:48:27 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 13:58:49 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 14:08:52 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 14:18:52 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 14:28:52 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 26 14:38:52 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 26 14:49:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 26 15:00:52 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 26 15:10:52 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 26 15:20:53 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 26 15:31:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 15:41:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 15:52:52 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 16:03:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 16:13:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 16:23:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 26 16:34:53 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 16:44:52 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 16:54:52 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 17:05:52 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 17:15:52 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 17:25:52 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 26 17:36:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 17:46:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 17:56:52 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 18:07:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 18:18:26 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 18:28:26 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 26 18:38:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 26 18:49:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 26 19:00:51 EST 2017,100% Charging:true,19:00
