battery,40% Charging:true,Tue Feb 28 00:02:23 EST 2017,40% Charging:true,0:00
battery,45% Charging:true,Tue Feb 28 00:08:23 EST 2017,50% Charging:true,0:00
battery,50% Charging:true,Tue Feb 28 00:13:23 EST 2017,50% Charging:true,0:00
battery,55% Charging:true,Tue Feb 28 00:19:23 EST 2017,60% Charging:true,0:00
battery,60% Charging:true,Tue Feb 28 00:25:24 EST 2017,60% Charging:true,0:00
battery,65% Charging:true,Tue Feb 28 00:30:23 EST 2017,70% Charging:true,0:00
battery,70% Charging:true,Tue Feb 28 00:36:23 EST 2017,70% Charging:true,1:00
battery,75% Charging:true,Tue Feb 28 00:42:23 EST 2017,80% Charging:true,1:00
battery,80% Charging:true,Tue Feb 28 00:47:23 EST 2017,80% Charging:true,1:00
battery,85% Charging:true,Tue Feb 28 00:55:23 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Tue Feb 28 01:06:24 EST 2017,90% Charging:true,1:00
battery,95% Charging:true,Tue Feb 28 01:25:24 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Feb 28 01:30:23 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Feb 28 01:41:24 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 28 01:52:24 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 28 02:03:31 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 28 02:13:24 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 28 02:24:23 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 28 02:34:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 02:45:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 02:55:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 03:05:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 03:15:31 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 03:26:24 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 28 03:37:24 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 03:47:24 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 03:58:24 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 04:08:24 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 04:18:26 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 04:28:29 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 28 04:39:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 04:49:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 04:59:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 05:09:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 05:20:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 05:30:24 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 28 05:41:24 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 28 05:51:24 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 28 06:02:24 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 28 06:12:24 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 28 06:22:24 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 28 06:32:24 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 06:43:24 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 06:53:24 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 07:03:24 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 07:13:24 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 07:25:23 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 28 07:35:24 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 07:45:24 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 07:56:23 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 08:06:24 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 08:18:24 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 08:28:45 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 28 08:40:23 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 28 08:50:24 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 28 08:58:46 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 28 09:09:52 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 28 09:20:25 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 28 09:31:23 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 28 09:41:23 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 28 09:52:23 EST 2017,100% Charging:true,10:00
battery,95% Charging:false,Tue Feb 28 10:28:05 EST 2017,100% Charging:false,10:00
battery,90% Charging:false,Tue Feb 28 11:22:59 EST 2017,90% Charging:false,11:00
battery,85% Charging:false,Tue Feb 28 12:10:08 EST 2017,90% Charging:false,12:00
battery,80% Charging:false,Tue Feb 28 12:58:28 EST 2017,80% Charging:false,13:00
battery,75% Charging:false,Tue Feb 28 13:43:01 EST 2017,80% Charging:false,14:00
battery,70% Charging:false,Tue Feb 28 14:33:01 EST 2017,70% Charging:false,15:00
battery,70% Charging:false,Tue Feb 28 14:48:26 EST 2017,70% Charging:false,15:00
battery,65% Charging:false,Tue Feb 28 15:19:03 EST 2017,70% Charging:false,15:00
battery,60% Charging:false,Tue Feb 28 15:52:54 EST 2017,60% Charging:false,16:00
battery,55% Charging:false,Tue Feb 28 16:37:59 EST 2017,60% Charging:false,17:00
battery,50% Charging:false,Tue Feb 28 17:33:01 EST 2017,50% Charging:false,18:00
battery,45% Charging:false,Tue Feb 28 18:18:03 EST 2017,50% Charging:false,18:00
battery,45% Charging:false,Tue Feb 28 18:28:27 EST 2017,50% Charging:false,18:00
battery,40% Charging:false,Tue Feb 28 19:07:01 EST 2017,40% Charging:false,19:00
battery,40% Charging:false,Tue Feb 28 19:18:53 EST 2017,40% Charging:false,19:00
battery,35% Charging:false,Tue Feb 28 19:57:29 EST 2017,40% Charging:false,20:00
battery,35% Charging:false,Tue Feb 28 20:08:27 EST 2017,40% Charging:false,20:00
battery,30% Charging:false,Tue Feb 28 20:42:43 EST 2017,30% Charging:false,21:00
battery,25% Charging:false,Tue Feb 28 21:32:41 EST 2017,30% Charging:false,22:00
battery,20% Charging:false,Tue Feb 28 22:23:01 EST 2017,20% Charging:false,22:00
battery,15% Charging:false,Tue Feb 28 23:18:02 EST 2017,20% Charging:false,23:00
battery,15% Charging:false,Tue Feb 28 23:28:26 EST 2017,20% Charging:false,23:00
