battery,10% Charging:false,Wed Mar 01 00:02:03 EST 2017,10% Charging:false,0:00
battery,20% Charging:true,Wed Mar 01 00:13:02 EST 2017,20% Charging:true,0:00
battery,25% Charging:true,Wed Mar 01 00:17:37 EST 2017,30% Charging:true,0:00
battery,30% Charging:true,Wed Mar 01 00:22:38 EST 2017,30% Charging:true,0:00
battery,35% Charging:true,Wed Mar 01 00:28:36 EST 2017,40% Charging:true,0:00
battery,50% Charging:true,Wed Mar 01 00:46:42 EST 2017,50% Charging:true,1:00
battery,55% Charging:true,Wed Mar 01 00:52:36 EST 2017,60% Charging:true,1:00
battery,60% Charging:true,Wed Mar 01 00:58:36 EST 2017,60% Charging:true,1:00
battery,65% Charging:true,Wed Mar 01 01:04:36 EST 2017,70% Charging:true,1:00
battery,70% Charging:true,Wed Mar 01 01:09:36 EST 2017,70% Charging:true,1:00
battery,75% Charging:true,Wed Mar 01 01:15:37 EST 2017,80% Charging:true,1:00
battery,80% Charging:true,Wed Mar 01 01:22:36 EST 2017,80% Charging:true,1:00
battery,85% Charging:true,Wed Mar 01 01:29:37 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Wed Mar 01 01:42:37 EST 2017,90% Charging:true,2:00
battery,100% Charging:true,Wed Mar 01 02:00:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 01 02:10:36 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 01 02:20:36 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 01 02:30:36 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 01 02:40:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 01 02:50:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 01 03:02:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 01 03:12:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 01 03:22:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 01 03:32:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 03:42:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 03:52:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 04:02:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 04:12:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 04:23:36 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 01 04:34:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 04:44:36 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 04:54:36 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 05:05:36 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 05:16:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 05:28:01 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 01 05:38:27 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 05:48:27 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 05:58:34 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 06:08:34 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 06:19:34 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 06:30:33 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 01 06:41:32 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 01 06:51:32 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 01 07:01:32 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 01 07:12:32 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 01 07:22:32 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 01 07:32:32 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 07:43:30 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 07:53:30 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 08:03:30 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 08:13:30 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 08:24:29 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed Mar 01 08:34:30 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Mar 01 08:46:29 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Mar 01 08:56:29 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Mar 01 09:06:29 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed Mar 01 09:17:29 EST 2017,100% Charging:true,9:00
