battery,70% Charging:true,Tue Mar 07 00:02:49 EST 2017,70% Charging:true,0:00
battery,75% Charging:true,Tue Mar 07 00:08:22 EST 2017,80% Charging:true,0:00
battery,80% Charging:true,Tue Mar 07 00:13:22 EST 2017,80% Charging:true,0:00
battery,85% Charging:true,Tue Mar 07 00:21:22 EST 2017,90% Charging:true,0:00
battery,90% Charging:true,Tue Mar 07 00:32:22 EST 2017,90% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 00:49:21 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 01:00:22 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 01:10:22 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 01:20:22 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 01:30:22 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Mar 07 01:40:22 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 07 01:51:22 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 07 02:01:22 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 07 02:12:22 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 07 02:21:22 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 07 02:31:22 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 02:41:22 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 02:51:22 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 03:02:22 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 03:13:22 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 03:24:21 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 07 03:34:22 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 03:44:22 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 03:54:22 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 04:05:21 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 04:15:22 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 04:26:22 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 07 04:37:21 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 04:47:22 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 04:58:22 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 05:08:22 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 05:18:49 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 05:29:22 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 07 05:39:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 05:49:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 05:59:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 06:09:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 06:19:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 06:29:22 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 07 06:39:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 06:49:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 07:00:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 07:10:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 07:20:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 07:30:22 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 07 07:40:22 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Mar 07 07:50:22 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Mar 07 08:01:22 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Mar 07 08:12:22 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Mar 07 08:23:21 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Mar 07 08:33:30 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 08:44:21 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 08:54:22 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 09:04:22 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 09:14:22 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 09:24:24 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Mar 07 09:35:22 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Mar 07 09:45:24 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Mar 07 09:56:22 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Mar 07 10:06:22 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Mar 07 10:17:23 EST 2017,100% Charging:true,10:00
battery,100% Charging:false,Tue Mar 07 10:28:27 EST 2017,100% Charging:false,10:00
battery,95% Charging:false,Tue Mar 07 10:38:53 EST 2017,100% Charging:false,11:00
battery,90% Charging:false,Tue Mar 07 11:12:37 EST 2017,90% Charging:false,11:00
battery,85% Charging:false,Tue Mar 07 11:45:19 EST 2017,90% Charging:false,12:00
battery,80% Charging:false,Tue Mar 07 12:17:08 EST 2017,80% Charging:false,12:00
battery,75% Charging:false,Tue Mar 07 13:10:03 EST 2017,80% Charging:false,13:00
battery,70% Charging:false,Tue Mar 07 14:07:03 EST 2017,70% Charging:false,14:00
battery,65% Charging:false,Tue Mar 07 14:56:57 EST 2017,70% Charging:false,15:00
battery,65% Charging:false,Tue Mar 07 15:08:26 EST 2017,70% Charging:false,15:00
battery,60% Charging:false,Tue Mar 07 15:43:53 EST 2017,60% Charging:false,16:00
battery,55% Charging:false,Tue Mar 07 16:41:34 EST 2017,60% Charging:false,17:00
battery,50% Charging:false,Tue Mar 07 17:35:46 EST 2017,50% Charging:false,18:00
battery,45% Charging:false,Tue Mar 07 18:21:37 EST 2017,50% Charging:false,18:00
battery,45% Charging:false,Tue Mar 07 18:32:23 EST 2017,50% Charging:false,19:00
battery,40% Charging:false,Tue Mar 07 19:17:42 EST 2017,40% Charging:false,19:00
battery,35% Charging:false,Tue Mar 07 20:10:28 EST 2017,40% Charging:false,20:00
battery,30% Charging:false,Tue Mar 07 21:04:12 EST 2017,30% Charging:false,21:00
