battery,40% Charging:true,Tue Mar 14 00:04:11 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Tue Mar 14 00:09:13 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Tue Mar 14 00:15:43 EDT 2017,50% Charging:true,0:00
battery,55% Charging:true,Tue Mar 14 00:21:26 EDT 2017,60% Charging:true,0:00
battery,60% Charging:true,Tue Mar 14 00:27:58 EDT 2017,60% Charging:true,0:00
battery,65% Charging:true,Tue Mar 14 00:32:13 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Tue Mar 14 00:39:01 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Tue Mar 14 00:43:43 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Tue Mar 14 00:50:13 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Tue Mar 14 00:58:40 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Tue Mar 14 01:10:11 EDT 2017,90% Charging:true,1:00
battery,95% Charging:true,Tue Mar 14 01:31:25 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 01:32:13 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 01:43:11 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 01:54:54 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 02:05:24 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 02:16:17 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 02:30:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Mar 14 02:37:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 02:47:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 02:58:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 03:07:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 03:18:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 03:28:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Mar 14 03:38:13 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 03:48:13 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 03:59:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 04:09:11 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 04:19:11 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 04:29:11 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Mar 14 04:39:12 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 14 04:50:12 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 14 05:01:12 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 14 05:11:12 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 14 05:21:12 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Mar 14 05:31:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 05:41:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 05:52:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 06:02:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 06:12:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 06:22:12 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Mar 14 06:32:12 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 14 06:42:12 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Mar 14 06:52:12 EDT 2017,100% Charging:true,7:00
