battery,20% Charging:true,Wed Mar 22 00:11:10 EDT 2017,20% Charging:true,0:00
battery,25% Charging:true,Wed Mar 22 00:17:02 EDT 2017,30% Charging:true,0:00
battery,30% Charging:true,Wed Mar 22 00:23:02 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Wed Mar 22 00:29:02 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Wed Mar 22 00:34:02 EDT 2017,40% Charging:true,1:00
battery,45% Charging:true,Wed Mar 22 00:40:02 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Wed Mar 22 00:46:02 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Wed Mar 22 00:51:02 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Wed Mar 22 00:57:02 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Wed Mar 22 01:03:02 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Wed Mar 22 01:09:02 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Wed Mar 22 01:14:02 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Wed Mar 22 01:21:02 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Wed Mar 22 01:27:02 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Wed Mar 22 01:37:02 EDT 2017,90% Charging:true,2:00
battery,95% Charging:true,Wed Mar 22 01:56:02 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 22 02:02:02 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 22 02:12:02 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 22 02:23:02 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 22 02:34:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 02:44:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 02:54:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 03:05:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 03:15:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 03:25:02 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 22 03:35:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 03:46:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 03:57:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 04:07:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 04:18:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 04:28:02 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 22 04:38:02 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 22 04:49:02 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 22 04:59:02 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 22 05:09:10 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 22 05:20:02 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 22 05:31:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 05:41:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 05:52:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 06:02:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 06:13:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 06:23:02 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 22 06:34:02 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 22 06:45:02 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed Mar 22 06:56:02 EDT 2017,100% Charging:true,7:00
