battery,10% Charging:true,Thu Mar 23 00:00:42 EDT 2017,10% Charging:true,0:00
battery,15% Charging:true,Thu Mar 23 00:03:42 EDT 2017,20% Charging:true,0:00
battery,20% Charging:true,Thu Mar 23 00:06:42 EDT 2017,20% Charging:true,0:00
battery,25% Charging:true,Thu Mar 23 00:12:43 EDT 2017,30% Charging:true,0:00
battery,30% Charging:true,Thu Mar 23 00:17:43 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Thu Mar 23 00:22:43 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Thu Mar 23 00:28:42 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Thu Mar 23 00:33:43 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Thu Mar 23 00:39:43 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Thu Mar 23 00:44:43 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Thu Mar 23 00:50:43 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Thu Mar 23 00:56:42 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Thu Mar 23 01:01:42 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Thu Mar 23 01:07:43 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Thu Mar 23 01:13:43 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Thu Mar 23 01:21:43 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Thu Mar 23 01:34:43 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Thu Mar 23 01:53:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Mar 23 02:03:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Mar 23 02:14:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Mar 23 02:24:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Mar 23 02:35:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 02:44:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 02:54:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 03:05:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 03:16:42 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 03:27:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Mar 23 03:38:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 03:49:42 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 03:59:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 04:09:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 04:20:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 04:30:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Mar 23 04:40:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Mar 23 04:50:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Mar 23 05:01:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Mar 23 05:11:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Mar 23 05:21:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Mar 23 05:32:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 05:42:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 05:55:44 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 06:06:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 06:16:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 06:26:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Mar 23 06:37:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 06:47:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 06:58:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 07:08:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 07:18:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 07:28:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Mar 23 07:38:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 07:48:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 07:59:08 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 08:09:10 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 08:19:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 08:29:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Mar 23 08:40:43 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Mar 23 08:50:43 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Mar 23 09:01:42 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Mar 23 09:11:58 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Mar 23 09:22:43 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Mar 23 09:32:43 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Mar 23 09:42:53 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Mar 23 09:53:43 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Mar 23 10:03:43 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Mar 23 10:13:43 EDT 2017,100% Charging:true,10:00
battery,100% Charging:false,Thu Mar 23 10:25:00 EDT 2017,100% Charging:false,10:00
battery,100% Charging:false,Thu Mar 23 10:36:19 EDT 2017,100% Charging:false,11:00
battery,95% Charging:false,Thu Mar 23 10:45:27 CDT 2017,100% Charging:false,11:00
battery,90% Charging:false,Thu Mar 23 12:55:19 EDT 2017,90% Charging:false,13:00
battery,90% Charging:false,Thu Mar 23 13:08:27 EDT 2017,90% Charging:false,13:00
battery,90% Charging:false,Thu Mar 23 13:19:08 EDT 2017,90% Charging:false,13:00
battery,85% Charging:false,Thu Mar 23 15:26:27 EDT 2017,90% Charging:false,15:00
battery,85% Charging:false,Thu Mar 23 15:37:02 EDT 2017,90% Charging:false,16:00
battery,80% Charging:false,Thu Mar 23 18:16:03 EDT 2017,80% Charging:false,18:00
battery,80% Charging:false,Thu Mar 23 18:28:12 EDT 2017,80% Charging:false,18:00
battery,75% Charging:false,Thu Mar 23 20:07:01 EDT 2017,80% Charging:false,20:00
battery,75% Charging:false,Thu Mar 23 20:18:22 EDT 2017,80% Charging:false,20:00
battery,75% Charging:true,Thu Mar 23 21:31:22 EDT 2017,80% Charging:true,22:00
battery,80% Charging:true,Thu Mar 23 21:37:21 EDT 2017,80% Charging:true,22:00
battery,85% Charging:true,Thu Mar 23 21:43:27 EDT 2017,90% Charging:true,22:00
battery,90% Charging:true,Thu Mar 23 21:53:22 EDT 2017,90% Charging:true,22:00
