battery,5% Charging:false,Tue Apr 11 00:18:26 EDT 2017,10% Charging:false,0:00
battery,5% Charging:true,Tue Apr 11 00:44:33 EDT 2017,10% Charging:true,1:00
battery,10% Charging:true,Tue Apr 11 00:47:32 EDT 2017,10% Charging:true,1:00
battery,15% Charging:true,Tue Apr 11 00:50:31 EDT 2017,20% Charging:true,1:00
battery,20% Charging:true,Tue Apr 11 00:53:32 EDT 2017,20% Charging:true,1:00
battery,25% Charging:true,Tue Apr 11 00:57:32 EDT 2017,30% Charging:true,1:00
battery,30% Charging:true,Tue Apr 11 01:03:31 EDT 2017,30% Charging:true,1:00
battery,35% Charging:true,Tue Apr 11 01:09:32 EDT 2017,40% Charging:true,1:00
battery,40% Charging:true,Tue Apr 11 01:15:31 EDT 2017,40% Charging:true,1:00
battery,45% Charging:true,Tue Apr 11 01:21:31 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Tue Apr 11 01:27:31 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Tue Apr 11 01:33:32 EDT 2017,60% Charging:true,2:00
battery,60% Charging:true,Tue Apr 11 01:39:31 EDT 2017,60% Charging:true,2:00
battery,65% Charging:true,Tue Apr 11 01:45:31 EDT 2017,70% Charging:true,2:00
battery,70% Charging:true,Tue Apr 11 01:51:32 EDT 2017,70% Charging:true,2:00
battery,75% Charging:true,Tue Apr 11 01:57:31 EDT 2017,80% Charging:true,2:00
battery,80% Charging:true,Tue Apr 11 02:03:31 EDT 2017,80% Charging:true,2:00
battery,85% Charging:true,Tue Apr 11 02:11:32 EDT 2017,90% Charging:true,2:00
battery,90% Charging:true,Tue Apr 11 02:25:31 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Tue Apr 11 02:42:31 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Apr 11 02:53:32 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Apr 11 03:03:32 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Apr 11 03:13:32 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Apr 11 03:23:32 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Apr 11 03:33:32 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 03:44:32 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 03:54:32 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 04:05:32 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 04:16:31 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 04:26:32 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Apr 11 04:38:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 04:48:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 04:58:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 05:09:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 05:19:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 05:30:32 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Apr 11 05:41:32 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Apr 11 05:51:32 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Apr 11 06:01:32 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Apr 11 06:11:32 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Apr 11 06:22:32 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Apr 11 06:32:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 06:42:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 06:52:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 07:02:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 07:12:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 07:23:32 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Apr 11 07:33:32 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 07:44:32 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 07:55:32 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 08:05:32 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 08:15:32 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 08:26:31 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Apr 11 08:36:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 08:47:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 08:57:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 09:08:40 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 09:19:03 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 09:29:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Apr 11 09:40:43 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Apr 11 09:51:39 EDT 2017,100% Charging:true,10:00
battery,95% Charging:false,Tue Apr 11 10:26:01 EDT 2017,100% Charging:false,10:00
battery,95% Charging:false,Tue Apr 11 10:39:03 EDT 2017,100% Charging:false,11:00
battery,90% Charging:false,Tue Apr 11 11:23:29 EDT 2017,90% Charging:false,11:00
battery,85% Charging:false,Tue Apr 11 12:15:47 EDT 2017,90% Charging:false,12:00
battery,85% Charging:false,Tue Apr 11 12:25:48 EDT 2017,90% Charging:false,12:00
battery,80% Charging:false,Tue Apr 11 13:14:06 EDT 2017,80% Charging:false,13:00
battery,75% Charging:false,Tue Apr 11 14:14:42 EDT 2017,80% Charging:false,14:00
battery,70% Charging:false,Tue Apr 11 15:11:59 EDT 2017,70% Charging:false,15:00
battery,65% Charging:false,Tue Apr 11 15:52:59 EDT 2017,70% Charging:false,16:00
