battery,25% Charging:false,Thu Apr 13 00:14:01 EDT 2017,30% Charging:false,0:00
battery,30% Charging:true,Thu Apr 13 00:25:19 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Thu Apr 13 00:31:28 EDT 2017,40% Charging:true,1:00
battery,40% Charging:true,Thu Apr 13 00:37:17 EDT 2017,40% Charging:true,1:00
battery,45% Charging:true,Thu Apr 13 00:43:19 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Thu Apr 13 00:49:18 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Thu Apr 13 00:55:18 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Thu Apr 13 01:01:18 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Thu Apr 13 01:07:19 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Thu Apr 13 01:13:19 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Thu Apr 13 01:19:19 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Thu Apr 13 01:26:17 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Thu Apr 13 01:34:19 EDT 2017,90% Charging:true,2:00
battery,90% Charging:true,Thu Apr 13 01:48:18 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Thu Apr 13 02:07:19 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Apr 13 02:18:17 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Apr 13 02:28:19 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu Apr 13 02:38:19 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Apr 13 02:49:19 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Apr 13 03:00:17 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Apr 13 03:10:19 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Apr 13 03:20:19 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu Apr 13 03:31:19 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 03:41:19 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 03:52:19 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 04:02:19 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 04:12:35 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 04:23:18 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Thu Apr 13 04:34:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 04:44:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 04:55:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 05:05:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 05:15:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 05:25:19 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Thu Apr 13 05:35:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 05:46:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 05:57:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 06:07:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 06:17:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 06:27:19 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Thu Apr 13 06:38:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 06:49:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 06:59:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 07:10:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 07:20:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 07:30:19 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Thu Apr 13 07:40:19 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Apr 13 07:52:19 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Apr 13 08:02:19 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Apr 13 08:13:19 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Apr 13 08:23:19 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Thu Apr 13 08:33:19 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 08:43:42 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 08:54:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 09:05:19 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 09:16:17 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 09:26:17 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Thu Apr 13 09:36:18 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Apr 13 09:46:33 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Apr 13 09:57:19 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Apr 13 10:08:37 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Apr 13 10:18:41 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Thu Apr 13 10:29:04 EDT 2017,100% Charging:true,10:00
