battery,40% Charging:true,Sun Apr 16 00:01:43 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Sun Apr 16 00:08:42 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Sun Apr 16 00:15:42 EDT 2017,50% Charging:true,0:00
battery,55% Charging:true,Sun Apr 16 00:21:42 EDT 2017,60% Charging:true,0:00
battery,60% Charging:true,Sun Apr 16 00:28:44 EDT 2017,60% Charging:true,0:00
battery,65% Charging:true,Sun Apr 16 00:34:43 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Sun Apr 16 00:40:44 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Sun Apr 16 00:46:43 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Sun Apr 16 00:52:43 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Sun Apr 16 01:01:44 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Sun Apr 16 01:14:44 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Sun Apr 16 01:34:42 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 01:44:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 01:55:44 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 02:05:44 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 02:15:44 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 02:26:43 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 16 02:37:44 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 02:47:44 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 02:58:43 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 03:08:44 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 03:19:44 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 03:29:44 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 16 03:40:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 16 03:50:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 16 04:01:44 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 16 04:12:43 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 16 04:22:44 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 16 04:33:44 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 04:44:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 04:54:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 05:04:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 05:14:43 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 05:25:44 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 16 05:35:59 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 05:46:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 05:57:42 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 06:08:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 06:18:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 06:29:43 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 16 06:41:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 16 06:51:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 16 07:01:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 16 07:11:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 16 07:21:43 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 16 07:31:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 07:41:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 07:51:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 08:01:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 08:12:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 08:22:43 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 16 08:33:43 EDT 2017,100% Charging:true,9:00
