battery,20% Charging:false,Sun Apr 23 00:05:09 EDT 2017,20% Charging:false,0:00
battery,20% Charging:true,Sun Apr 23 00:30:40 EDT 2017,20% Charging:true,0:00
battery,25% Charging:true,Sun Apr 23 00:34:29 EDT 2017,30% Charging:true,1:00
battery,30% Charging:true,Sun Apr 23 00:40:27 EDT 2017,30% Charging:true,1:00
battery,35% Charging:true,Sun Apr 23 00:46:27 EDT 2017,40% Charging:true,1:00
battery,40% Charging:true,Sun Apr 23 00:52:27 EDT 2017,40% Charging:true,1:00
battery,45% Charging:true,Sun Apr 23 00:58:45 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Sun Apr 23 01:04:27 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Sun Apr 23 01:10:27 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Sun Apr 23 01:16:27 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Sun Apr 23 01:22:28 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Sun Apr 23 01:28:27 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Sun Apr 23 01:35:28 EDT 2017,80% Charging:true,2:00
battery,80% Charging:true,Sun Apr 23 01:41:27 EDT 2017,80% Charging:true,2:00
battery,85% Charging:true,Sun Apr 23 01:52:03 EDT 2017,90% Charging:true,2:00
battery,90% Charging:true,Sun Apr 23 02:10:01 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Sun Apr 23 02:21:33 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Apr 23 02:31:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 02:42:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 02:52:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 03:02:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 03:13:27 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 03:23:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Apr 23 03:33:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 03:44:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 03:55:07 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 04:05:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 04:15:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 04:26:29 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Apr 23 04:37:29 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 04:48:28 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 04:59:28 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 05:09:28 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 05:19:29 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 05:30:28 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Apr 23 05:40:28 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 23 05:50:29 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 23 06:01:28 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 23 06:11:28 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 23 06:21:28 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Apr 23 06:32:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 06:42:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 06:52:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 07:02:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 07:12:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 07:23:28 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Apr 23 07:33:28 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 07:44:28 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 07:54:28 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 08:05:09 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 08:14:28 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 08:24:28 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Apr 23 08:35:08 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 08:45:08 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 08:55:15 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 09:05:27 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 09:15:32 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 09:26:27 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sun Apr 23 09:37:28 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 09:47:37 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 09:57:35 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 10:08:27 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 10:19:27 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 10:29:28 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sun Apr 23 10:39:28 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Apr 23 10:49:28 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Apr 23 11:00:01 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Apr 23 11:10:27 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Apr 23 11:21:27 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sun Apr 23 11:31:27 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 11:42:26 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 11:45:31 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 11:55:42 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 12:06:25 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 12:16:26 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 12:26:26 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Apr 23 12:37:27 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 12:48:26 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 12:58:26 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 13:09:28 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 13:19:27 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 13:30:26 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Apr 23 13:40:26 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Apr 23 13:50:26 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Apr 23 14:00:27 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Apr 23 14:12:22 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Apr 23 14:22:25 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Apr 23 14:32:27 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 14:42:27 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 14:52:27 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 15:02:27 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 15:13:48 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 15:24:26 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Apr 23 15:34:27 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 15:45:43 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 15:55:26 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 16:05:27 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 16:16:26 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 16:27:27 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Apr 23 16:38:25 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Apr 23 16:49:27 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Apr 23 17:00:26 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Apr 23 17:10:26 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Apr 23 17:21:26 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Apr 23 17:31:39 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 17:41:40 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 17:52:26 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 18:02:27 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 18:13:25 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 18:24:38 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Apr 23 18:35:08 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 18:45:26 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 18:55:30 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 19:06:26 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 19:16:26 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 19:26:26 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 23 19:37:26 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 19:47:26 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 19:58:25 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 20:08:25 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 20:18:28 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 20:29:26 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 23 20:40:26 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 20:50:27 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 21:00:27 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 21:10:48 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 21:20:38 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 21:30:28 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 23 21:40:27 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 23 21:52:26 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 23 22:02:28 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 23 22:12:45 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 23 22:23:27 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 23 22:33:27 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 22:43:28 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 22:54:28 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 23:05:27 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 23:16:26 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 23:27:26 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 23 23:37:27 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Sun Apr 23 23:48:28 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Sun Apr 23 23:59:26 EDT 2017,100% Charging:true,0:00
