battery,90% Charging:true,Wed Apr 26 00:01:06 EDT 2017,90% Charging:true,0:00
battery,95% Charging:true,Wed Apr 26 00:19:09 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Wed Apr 26 00:28:04 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Wed Apr 26 00:38:28 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Wed Apr 26 00:49:28 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Wed Apr 26 01:00:26 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Wed Apr 26 01:10:28 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Wed Apr 26 01:20:28 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Wed Apr 26 01:31:27 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 01:41:28 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 01:51:28 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 02:02:28 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 02:12:46 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 02:22:46 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Apr 26 02:32:48 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 02:43:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 02:53:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 03:04:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 03:14:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 03:24:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Apr 26 03:34:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Apr 26 03:44:28 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Apr 26 03:54:28 EDT 2017,100% Charging:true,4:00
