battery,55% Charging:false,Mon May 01 00:23:54 EDT 2017,60% Charging:false,0:00
battery,50% Charging:false,Mon May 01 01:25:47 EDT 2017,50% Charging:false,1:00
battery,45% Charging:false,Mon May 01 02:25:52 EDT 2017,50% Charging:false,2:00
battery,45% Charging:false,Mon May 01 02:40:50 EDT 2017,50% Charging:false,3:00
battery,40% Charging:false,Mon May 01 03:35:51 EDT 2017,40% Charging:false,4:00
battery,40% Charging:false,Mon May 01 03:45:52 EDT 2017,40% Charging:false,4:00
battery,40% Charging:true,Mon May 01 04:12:58 EDT 2017,40% Charging:true,4:00
battery,45% Charging:true,Mon May 01 04:18:58 EDT 2017,50% Charging:true,4:00
battery,50% Charging:true,Mon May 01 04:24:58 EDT 2017,50% Charging:true,4:00
battery,55% Charging:true,Mon May 01 04:30:57 EDT 2017,60% Charging:true,4:00
battery,60% Charging:true,Mon May 01 04:36:58 EDT 2017,60% Charging:true,5:00
battery,65% Charging:true,Mon May 01 04:42:58 EDT 2017,70% Charging:true,5:00
battery,70% Charging:true,Mon May 01 04:48:58 EDT 2017,70% Charging:true,5:00
battery,75% Charging:true,Mon May 01 04:54:58 EDT 2017,80% Charging:true,5:00
battery,80% Charging:true,Mon May 01 05:00:57 EDT 2017,80% Charging:true,5:00
battery,85% Charging:true,Mon May 01 05:08:57 EDT 2017,90% Charging:true,5:00
battery,90% Charging:true,Mon May 01 05:22:58 EDT 2017,90% Charging:true,5:00
battery,100% Charging:true,Mon May 01 05:41:58 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Mon May 01 05:52:58 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Mon May 01 06:02:58 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Mon May 01 06:12:58 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Mon May 01 06:22:59 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Mon May 01 06:33:59 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 06:43:59 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 06:53:59 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 07:04:59 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 07:14:59 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 07:25:03 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Mon May 01 07:34:59 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 07:45:58 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 07:55:59 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 08:06:59 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 08:17:59 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 08:27:59 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Mon May 01 08:37:59 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 08:47:59 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 08:58:58 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 09:08:58 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 09:18:59 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 09:29:59 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Mon May 01 09:40:59 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Mon May 01 09:51:00 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Mon May 01 10:01:01 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Mon May 01 10:11:02 EDT 2017,100% Charging:true,10:00
