battery,15% Charging:false,Fri May 05 00:26:19 EDT 2017,20% Charging:false,0:00
battery,25% Charging:true,Fri May 05 00:43:39 EDT 2017,30% Charging:true,1:00
battery,30% Charging:true,Fri May 05 00:49:41 EDT 2017,30% Charging:true,1:00
battery,35% Charging:true,Fri May 05 00:55:39 EDT 2017,40% Charging:true,1:00
battery,40% Charging:true,Fri May 05 01:01:39 EDT 2017,40% Charging:true,1:00
battery,45% Charging:true,Fri May 05 01:07:41 EDT 2017,50% Charging:true,1:00
battery,50% Charging:true,Fri May 05 01:13:39 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Fri May 05 01:19:41 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Fri May 05 01:24:41 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Fri May 05 01:30:40 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Fri May 05 01:36:41 EDT 2017,70% Charging:true,2:00
battery,75% Charging:true,Fri May 05 01:42:41 EDT 2017,80% Charging:true,2:00
battery,80% Charging:true,Fri May 05 01:49:41 EDT 2017,80% Charging:true,2:00
battery,85% Charging:true,Fri May 05 01:58:40 EDT 2017,90% Charging:true,2:00
battery,90% Charging:true,Fri May 05 02:14:41 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Fri May 05 02:26:41 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri May 05 02:37:41 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 02:47:41 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 02:58:41 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 03:09:39 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 03:19:39 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 03:29:41 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri May 05 03:40:41 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri May 05 03:50:41 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri May 05 04:01:39 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri May 05 04:12:41 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri May 05 04:22:41 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri May 05 04:32:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 04:42:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 04:52:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 05:02:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 05:12:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 05:22:41 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri May 05 05:32:41 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri May 05 05:42:41 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri May 05 05:52:41 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri May 05 06:03:39 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri May 05 06:14:41 EDT 2017,100% Charging:true,6:00
