battery,45% Charging:false,Sun May 07 00:40:54 EDT 2017,50% Charging:false,1:00
battery,50% Charging:true,Sun May 07 00:47:57 EDT 2017,50% Charging:true,1:00
battery,55% Charging:true,Sun May 07 00:54:55 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Sun May 07 00:58:56 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Sun May 07 01:04:56 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Sun May 07 01:10:56 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Sun May 07 01:16:57 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Sun May 07 01:22:56 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Sun May 07 01:32:54 EDT 2017,90% Charging:true,2:00
battery,90% Charging:true,Sun May 07 01:46:54 EDT 2017,90% Charging:true,2:00
battery,100% Charging:true,Sun May 07 01:55:58 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun May 07 02:05:58 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun May 07 02:17:58 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun May 07 02:27:58 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun May 07 02:36:58 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 02:47:58 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 02:57:58 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 03:07:58 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 03:17:57 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 03:28:58 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun May 07 03:39:58 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun May 07 03:49:58 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun May 07 03:59:58 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun May 07 04:09:58 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun May 07 04:20:58 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun May 07 04:31:58 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 04:42:56 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 04:52:58 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 05:02:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 05:12:58 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 05:23:58 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun May 07 05:33:57 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun May 07 05:43:58 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun May 07 05:54:57 EDT 2017,100% Charging:true,6:00
