battery,30% Charging:true,Wed May 10 00:05:05 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Wed May 10 00:10:54 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Wed May 10 00:16:44 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Wed May 10 00:22:50 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Wed May 10 00:28:31 EDT 2017,50% Charging:true,0:00
battery,55% Charging:true,Wed May 10 00:34:21 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Wed May 10 00:40:11 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Wed May 10 00:46:03 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Wed May 10 00:52:50 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Wed May 10 00:57:53 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Wed May 10 01:04:50 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Wed May 10 01:11:48 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Wed May 10 01:24:32 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Wed May 10 01:44:23 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed May 10 01:54:50 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed May 10 02:04:51 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed May 10 02:14:51 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed May 10 02:24:51 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed May 10 02:35:51 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 02:46:50 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 02:58:50 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 03:09:51 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 03:19:51 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 03:29:51 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed May 10 03:40:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed May 10 03:51:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed May 10 04:01:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed May 10 04:11:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed May 10 04:21:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed May 10 04:31:51 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 04:42:50 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 04:52:51 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 05:03:50 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 05:13:51 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 05:23:51 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed May 10 05:34:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 05:44:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 05:55:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 06:05:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 06:15:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 06:26:51 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed May 10 06:36:51 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 06:46:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 06:57:51 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 07:08:50 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 07:19:51 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 07:29:51 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Wed May 10 07:39:51 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed May 10 07:49:51 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed May 10 07:59:51 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed May 10 08:10:02 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed May 10 08:20:50 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Wed May 10 08:31:51 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed May 10 08:41:51 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed May 10 08:51:51 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed May 10 09:02:50 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed May 10 09:13:50 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Wed May 10 09:54:33 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed May 10 10:04:55 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed May 10 10:15:50 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed May 10 10:25:53 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Wed May 10 10:35:50 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 10:45:50 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 10:56:50 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 11:07:51 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 11:17:51 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 11:28:47 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Wed May 10 11:38:51 EDT 2017,100% Charging:true,12:00
battery,100% Charging:false,Wed May 10 11:50:24 EDT 2017,100% Charging:false,12:00
battery,95% Charging:false,Wed May 10 12:29:48 EDT 2017,100% Charging:false,12:00
battery,95% Charging:false,Wed May 10 12:41:09 EDT 2017,100% Charging:false,13:00
battery,90% Charging:false,Wed May 10 13:32:36 EDT 2017,90% Charging:false,14:00
battery,85% Charging:false,Wed May 10 14:12:38 EDT 2017,90% Charging:false,14:00
battery,80% Charging:false,Wed May 10 15:04:43 EDT 2017,80% Charging:false,15:00
battery,75% Charging:false,Wed May 10 15:45:24 EDT 2017,80% Charging:false,16:00
battery,70% Charging:false,Wed May 10 16:42:26 EDT 2017,70% Charging:false,17:00
battery,65% Charging:false,Wed May 10 17:50:15 EDT 2017,70% Charging:false,18:00
battery,65% Charging:false,Wed May 10 18:01:09 EDT 2017,70% Charging:false,18:00
battery,60% Charging:false,Wed May 10 18:52:14 EDT 2017,60% Charging:false,19:00
battery,55% Charging:false,Wed May 10 19:59:02 EDT 2017,60% Charging:false,20:00
battery,50% Charging:false,Wed May 10 20:51:49 EDT 2017,50% Charging:false,21:00
battery,45% Charging:false,Wed May 10 21:50:31 EDT 2017,50% Charging:false,22:00
battery,40% Charging:false,Wed May 10 22:43:14 EDT 2017,40% Charging:false,23:00
battery,35% Charging:false,Wed May 10 23:54:41 EDT 2017,40% Charging:false,0:00
