battery,60% Charging:true,Sat May 13 00:00:01 EDT 2017,60% Charging:true,0:00
battery,65% Charging:true,Sat May 13 00:06:26 EDT 2017,70% Charging:true,0:00
battery,70% Charging:true,Sat May 13 00:12:01 EDT 2017,70% Charging:true,0:00
battery,75% Charging:true,Sat May 13 00:18:01 EDT 2017,80% Charging:true,0:00
battery,80% Charging:true,Sat May 13 00:24:01 EDT 2017,80% Charging:true,0:00
battery,85% Charging:true,Sat May 13 00:33:00 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Sat May 13 00:48:01 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Sat May 13 01:04:01 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat May 13 01:15:01 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat May 13 01:25:01 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Sat May 13 01:36:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 01:46:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 01:56:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 02:07:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 02:18:48 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 02:28:48 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sat May 13 02:39:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat May 13 02:50:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat May 13 03:00:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat May 13 03:11:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat May 13 03:21:01 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sat May 13 03:31:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 03:41:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 03:52:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 04:02:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 04:13:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 04:23:01 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sat May 13 04:33:01 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 04:43:01 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 04:53:33 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 05:04:01 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 05:14:01 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 05:25:01 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sat May 13 05:37:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 05:47:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 05:57:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 06:07:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 06:17:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 06:27:01 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sat May 13 06:38:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 06:48:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 06:58:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 07:08:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 07:18:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 07:28:01 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sat May 13 07:38:01 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 07:48:48 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 07:58:48 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 08:09:01 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 08:20:01 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 08:30:01 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sat May 13 08:41:01 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat May 13 08:51:01 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat May 13 09:01:01 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat May 13 09:11:53 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat May 13 09:22:01 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Sat May 13 09:33:00 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 09:44:00 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 09:54:01 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 10:05:02 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 10:16:02 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 10:26:02 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Sat May 13 10:37:02 EDT 2017,100% Charging:true,11:00
battery,100% Charging:true,Sat May 13 10:47:02 EDT 2017,100% Charging:true,11:00
