battery,70% Charging:true,Mon May 15 00:12:39 EDT 2017,70% Charging:true,0:00
battery,75% Charging:true,Mon May 15 00:18:29 EDT 2017,80% Charging:true,0:00
battery,80% Charging:true,Mon May 15 00:24:31 EDT 2017,80% Charging:true,0:00
battery,85% Charging:true,Mon May 15 00:32:33 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Mon May 15 00:46:01 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Mon May 15 01:06:31 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Mon May 15 01:17:14 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Mon May 15 01:26:34 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Mon May 15 01:37:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 01:47:14 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 01:56:29 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 02:06:29 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 02:17:28 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 02:28:28 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Mon May 15 02:38:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 02:48:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 02:58:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 03:08:28 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 03:19:13 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 03:29:26 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Mon May 15 03:42:26 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Mon May 15 03:52:26 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Mon May 15 04:04:26 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Mon May 15 04:15:25 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Mon May 15 04:25:25 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Mon May 15 04:36:25 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Mon May 15 04:46:25 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Mon May 15 04:56:25 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Mon May 15 05:07:24 EDT 2017,100% Charging:true,5:00
