battery,30% Charging:true,Thu May 18 00:06:46 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Thu May 18 00:11:01 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Thu May 18 00:16:21 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Thu May 18 00:23:01 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Thu May 18 00:29:21 EDT 2017,50% Charging:true,0:00
battery,55% Charging:true,Thu May 18 00:33:21 EDT 2017,60% Charging:true,1:00
battery,60% Charging:true,Thu May 18 00:39:21 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Thu May 18 00:45:21 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Thu May 18 00:51:21 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Thu May 18 00:56:21 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Thu May 18 01:02:21 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Thu May 18 01:10:21 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Thu May 18 01:22:21 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Thu May 18 01:43:01 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu May 18 01:52:21 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu May 18 02:02:21 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu May 18 02:12:21 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu May 18 02:22:21 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Thu May 18 02:32:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 02:43:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 02:53:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 03:03:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 03:14:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 03:24:21 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Thu May 18 03:34:21 EDT 2017,100% Charging:true,4:00
