battery,85% Charging:true,Thu Jun 08 23:59:53 EDT 2017,90% Charging:true,0:00
battery,100% Charging:true,Fri Jun 09 00:10:50 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Fri Jun 09 00:22:31 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Fri Jun 09 00:31:39 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 00:42:39 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 00:52:30 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 01:02:34 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 01:12:34 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 01:22:38 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Fri Jun 09 01:32:39 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 01:42:39 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 01:53:53 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 02:06:39 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 02:14:39 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 02:25:53 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Fri Jun 09 02:39:05 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 02:47:20 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 02:57:39 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 03:08:39 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 03:18:39 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 03:29:53 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Fri Jun 09 03:38:39 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jun 09 03:49:48 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jun 09 03:58:39 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jun 09 04:08:51 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jun 09 04:19:39 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Fri Jun 09 04:33:39 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 04:40:39 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 04:52:26 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 05:00:39 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 05:11:39 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 05:22:33 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Fri Jun 09 05:32:34 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 05:42:36 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 05:52:39 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 06:03:53 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 06:13:53 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 06:23:39 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Fri Jun 09 06:34:39 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 06:45:39 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 06:56:39 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 07:07:53 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 07:16:39 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 07:27:39 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Fri Jun 09 07:36:39 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 07:46:58 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 07:58:34 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 08:07:39 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 08:17:39 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 08:28:39 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Fri Jun 09 08:38:51 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Fri Jun 09 08:49:38 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Fri Jun 09 09:02:34 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Fri Jun 09 09:10:41 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Fri Jun 09 09:20:52 EDT 2017,100% Charging:true,9:00
battery,100% Charging:true,Fri Jun 09 09:31:39 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Fri Jun 09 09:41:50 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Fri Jun 09 09:52:39 EDT 2017,100% Charging:true,10:00
battery,100% Charging:true,Fri Jun 09 10:03:39 EDT 2017,100% Charging:true,10:00
battery,100% Charging:false,Fri Jun 09 10:16:01 EDT 2017,100% Charging:false,10:00
battery,95% Charging:false,Fri Jun 09 10:47:24 EDT 2017,100% Charging:false,11:00
battery,90% Charging:false,Fri Jun 09 11:19:38 EDT 2017,90% Charging:false,11:00
battery,85% Charging:false,Fri Jun 09 12:12:01 EDT 2017,90% Charging:false,12:00
battery,80% Charging:false,Fri Jun 09 12:41:49 EDT 2017,80% Charging:false,13:00
battery,75% Charging:false,Fri Jun 09 13:22:01 EDT 2017,80% Charging:false,13:00
battery,70% Charging:false,Fri Jun 09 14:21:51 EDT 2017,70% Charging:false,14:00
battery,70% Charging:false,Fri Jun 09 14:32:01 EDT 2017,70% Charging:false,15:00
battery,65% Charging:false,Fri Jun 09 15:11:51 EDT 2017,70% Charging:false,15:00
battery,60% Charging:false,Fri Jun 09 16:08:17 EDT 2017,60% Charging:false,16:00
battery,55% Charging:false,Fri Jun 09 16:30:51 EDT 2017,60% Charging:false,16:00
battery,45% Charging:false,Fri Jun 09 17:41:49 EDT 2017,50% Charging:false,18:00
battery,40% Charging:false,Fri Jun 09 18:32:01 EDT 2017,40% Charging:false,19:00
battery,35% Charging:false,Fri Jun 09 19:30:48 EDT 2017,40% Charging:false,19:00
battery,30% Charging:false,Fri Jun 09 20:21:50 EDT 2017,30% Charging:false,20:00
battery,25% Charging:false,Fri Jun 09 21:02:01 EDT 2017,30% Charging:false,21:00
battery,25% Charging:false,Fri Jun 09 21:12:34 EDT 2017,30% Charging:false,21:00
battery,20% Charging:false,Fri Jun 09 21:42:34 EDT 2017,20% Charging:false,22:00
battery,20% Charging:false,Fri Jun 09 21:52:34 EDT 2017,20% Charging:false,22:00
battery,15% Charging:false,Fri Jun 09 22:42:41 EDT 2017,20% Charging:false,23:00
battery,10% Charging:false,Fri Jun 09 23:32:01 EDT 2017,10% Charging:false,0:00
battery,10% Charging:true,Fri Jun 09 23:48:05 EDT 2017,10% Charging:true,0:00
battery,15% Charging:true,Fri Jun 09 23:51:06 EDT 2017,20% Charging:true,0:00
battery,20% Charging:true,Fri Jun 09 23:54:13 EDT 2017,20% Charging:true,0:00
