battery,40% Charging:true,Sun Jun 11 00:15:55 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Sun Jun 11 00:21:54 EDT 2017,50% Charging:true,0:00
battery,60% Charging:true,Sun Jun 11 00:40:55 EDT 2017,60% Charging:true,1:00
battery,65% Charging:true,Sun Jun 11 00:47:56 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Sun Jun 11 00:53:55 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Sun Jun 11 00:59:42 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Sun Jun 11 01:07:42 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Sun Jun 11 01:11:55 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Sun Jun 11 01:23:45 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Sun Jun 11 01:25:54 EDT 2017,100% Charging:true,1:00
battery,100% Charging:true,Sun Jun 11 01:37:10 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 01:49:55 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 02:00:45 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 02:09:55 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 02:19:55 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 02:30:45 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 11 02:39:56 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 11 02:43:00 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 11 02:54:08 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 11 03:18:49 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 11 03:30:17 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 11 03:39:00 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 03:50:45 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 04:00:45 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 04:10:57 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 04:20:57 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 04:30:57 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 11 04:41:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 11 04:51:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 11 05:03:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 11 05:11:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 11 05:21:57 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 11 05:32:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 05:42:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 05:52:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 06:03:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 06:14:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 06:24:56 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 11 06:34:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 06:44:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 06:54:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 07:04:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 07:14:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 07:24:56 EDT 2017,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 11 07:34:56 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 11 07:44:56 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 11 07:54:56 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 11 08:04:56 EDT 2017,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 11 08:16:56 EDT 2017,100% Charging:true,8:00
